"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.1697099536486,1.7096808554,0.000196718448692748,0.094703081628648,0.0641847156841533,0.0279316083944965,0.0424280806302085,0.0222014228689564,0.0130145942706505,0.00673400055381142,-0.00540672788117872,0.00227463284803216,0.010111204865468,0.000976006536131798,0.00123434404179613,-0.00016478842310581,-0.00253759541997797,0.00442489657188553,0.00030756403777022,0.000553740373640292,0.000441050188939939,0.00112823159981652,-2.78029553584797e-05,0.000201751322622729,0.000180264764233357,-0.000116864098410409,-1.45323455394676e-05,0.000394011288920276,-0.000119904368760592,-0.000250246901207168,6.33507926755579e-06,8.77619874149927e-05,2.51892738969202e-05,1.81802298576291e-05,-8.6593411491366e-05,4.74463303779118e-05,-6.27091984471535e-06,0.00014570080196593,-5.29359896977432e-05,8.35983187993773e-06,7.10439016804171e-05,-9.34145197416255e-06,2.31171371464243e-05,0.000156630087313164,-2.5302496388332e-05,-1.55047635710372e-05,-8.26514575129401e-05,4.76453918940223e-05,-3.98633234577839e-05,4.01586681018829e-05,-1.1036359661611e-05,2.31561817122342e-05,-4.30388594088534e-05,1,1254,-0.571268735936078,-452.368119488283,12,928.736238976566,992.494883621649,"group-lasso","componentwise",0.273349830655984,12,"Model1"
2,10.1697099536486,1.7096808554,-0.0387528544526766,0.00722363930056811,0.0362021585259017,0.0106475396751903,0.0154525003229532,0.00710267365513761,0.0146584627113128,0.0158779735301829,0.0204340630564598,0.0206038754995644,0.0165181132125808,0.00192012942142543,0.00286484034649883,0.0036558611395305,0.00375104130500892,0.00213529029244332,0.00030438765566039,0.00232551571952766,0.000546082166122203,0.000319730118449178,0.00185619994213994,-0.000251776553864938,0.000464814345595852,0.000278519329987958,-0.000335738970747992,0.000456998647989953,-6.4535464407258e-06,-2.73116006381898e-05,0.000414417000612179,-7.61342027126252e-05,0.000285213809734266,-3.77459061119917e-06,-2.67142780674522e-05,9.97553732070266e-05,0.000161464022339261,0.000148485099416695,4.25172841919822e-05,9.72270740003784e-06,0.000174004296607757,0.000131467838222946,4.92652045385523e-05,-2.78212207843435e-05,3.37399394408887e-05,-9.59939604826995e-05,8.99837733838624e-05,7.70391129792768e-05,-2.09433729727263e-05,1.70797833629993e-05,3.04175191314166e-05,-7.50427068758396e-06,4.33605051787613e-06,1,921,-0.618836971774865,-640.983687868482,15,1311.96737573696,1391.66568154332,"group-lasso","componentwise",0.296561118465907,15,"Model1"
3,10.1697099536486,1.7096808554,-0.0311411540094754,0.00360768680963943,0.000783377614629683,0.0205891290090342,0.0179264534645306,0.0102233247267636,0.00386234215090733,0.00664663927141541,-0.00256960625275638,0.00654653676993754,0.00782218971636073,7.64853192669758e-05,0.00037300170267816,0.000867011369572569,0.000854023439019386,0.000693741424915791,0.000166113636341235,0.000674282459558849,2.34064818640574e-05,0.00041360962868166,0.000515604648443383,7.86618004347556e-05,0.00026329801541136,0.000155113907683806,0.000165643120116254,0.000207361905233972,-2.57433560946623e-05,4.36292555577365e-05,8.69619436008789e-05,8.67040495130755e-05,3.09959796590607e-05,3.50995531663171e-05,2.39128339627009e-05,3.41663258917295e-05,0.000114984456480765,5.25499047612772e-05,-1.88785315145271e-05,-6.53272037393363e-05,-2.84870434662181e-05,2.44881845689962e-05,4.21568752120124e-05,3.90789324098375e-06,-1.32249386649223e-05,4.51435312618186e-05,-3.2235960802234e-05,4.31275266499969e-05,-2.7697959397196e-05,1.54830382960044e-05,3.44239870365489e-05,5.91728081120539e-05,7.53009288288643e-05,1,1235,-0.493383791302363,-613.20241608926,9,1244.40483217852,1292.22381566233,"group-lasso","componentwise",0.290662965506179,9,"Model1"
4,10.1697099536486,1.7096808554,-0.0239963248232303,0.0733512421167218,0.0980306490154967,0.0405161054693162,0.156579135660102,0.040340965386231,0.01755788372715,0.0227547733713743,-0.00563839576842375,0.00849146101925901,0.00286714484429178,0.0031101572686146,0.00481238873489857,0.00184658975900224,0.00774534824080763,0.0055531841793414,0.000743104727926819,0.00108441728883768,0.00136662248916764,0.00120210013281591,0.00106429471082407,-0.000138674129041142,4.39077091826571e-05,0.000329469912815026,0.000347196780113815,-0.000160362330048976,0.00021322211699758,-6.70642890166552e-05,-1.94479252630816e-05,3.64558235527146e-05,0.000147307471309041,9.00491709075206e-05,0.000105482891677612,-8.8365264039272e-06,0.000169273304447751,-5.24353716923122e-05,2.01337692234551e-05,0.000111049972036758,-5.47826977352587e-05,1.26252336519549e-05,-9.70321799763246e-06,-6.05807189841674e-05,5.99397528665042e-05,-5.4883485725524e-05,4.77152427881062e-05,-9.30226513527071e-06,5.79382128489174e-05,1.81152855955176e-05,1.95377480118984e-05,7.34849380025756e-06,2.141365024437e-05,1,2100,-0.821066995075823,-569.926216361377,14,1167.85243272275,1242.23751814202,"group-lasso","componentwise",0.291599280995333,14,"Model1"
5,10.1697099536486,1.7096808554,-0.0213011538459182,0.100033854589202,0.0263204922293804,0.035968911739545,0.0389441109316235,0.16329334188687,0.0202504509800341,-0.00329883720946521,0.00993753438144348,0.0272274535272301,0.0727862642273643,0.00646226554143296,0.00669475039267716,0.0010485656327493,0.00300738637864547,0.00898622376019854,0.000545849937406275,0.0010648014227743,4.72604493582725e-05,4.01411709399612e-05,0.0011261883355201,9.2457961450146e-05,7.4951328932571e-05,0.000379749215923833,-0.000250368890105611,0.000170000818585332,0.000130425873878919,4.60336726236508e-05,2.83858564738031e-05,-0.000155738936877617,0.000159685406958367,5.32362062814345e-05,0.000128716761756756,-2.21208290418063e-05,0.000136729215035694,-0.000103095658614808,4.71021935532029e-06,3.06099693213479e-05,-4.54535060780187e-05,-3.43538841077095e-06,-9.28150098110947e-06,-4.56483500810622e-05,-1.73589564291688e-05,-1.46207693334696e-05,-1.62484542597536e-05,3.45044524347999e-05,-5.50550601031875e-05,2.70997186978636e-05,7.49386561587186e-05,1.67329943962343e-05,-5.02331635321723e-05,1,1169,-0.91655117065261,-564.585240226537,14,1157.17048045307,1231.55556587234,"group-lasso","componentwise",0.295160544382015,14,"Model1"
1,10.1697099536486,1.3237437953,0.0104874928886222,0.0898190251507012,0.0413406270562871,0.0641445703615456,-0.00263271690632028,0.0814488959728893,0.0152704735883064,0.0305908971283326,0.00203006671001587,0.015184035594176,0.0242341669774214,0.00213461379633167,0.00208924087902973,0.00499119674810855,0.000935463126682419,0.00498952974051578,0.00116369747287244,0.000102981494810123,0.000644087993639049,2.45926439367453e-05,-0.000224644815551947,1.52891492163059e-05,4.05923793132661e-05,-0.000146920294908037,0.000197867627768761,5.88720655587504e-06,4.8257218668649e-05,4.85142515835226e-06,-0.000121740758298241,5.84660487542002e-05,0.000141627791060231,5.9650127745881e-05,-9.00258502230787e-05,1.54423670208499e-05,0.000123111376534686,-0.000119544037942799,9.27586866318457e-05,-2.70519140850174e-06,1.33279468749728e-05,-4.29959128740622e-05,2.52022910438139e-05,1.78649505230249e-05,2.77603929810092e-05,-3.65058330002807e-05,4.18821846542714e-06,6.41763532964809e-05,-1.46758362248444e-05,8.88730137617213e-06,3.55684106153802e-05,0.000104327819579784,-2.72793995371636e-05,1,1165,-0.542653509764549,-402.54463092207,14,833.089261844139,907.474347263404,"group-lasso","componentwise",0.266056909543438,14,"Model2"
2,10.1697099536486,1.3237437953,-0.0240547920672893,0.018109103603347,0.0634616285701075,0.0449771552173288,0.0195095253942913,0.0263754276875329,0.0289482377395024,0.0348167618751264,0.0164909071270841,0.0204982933892792,0.015756932974284,0.00468753443845657,0.00780274807352797,0.00739473032206969,0.00657029366545855,0.00142077673866939,0.00161435593273226,0.000966686937063119,7.88519475483156e-05,0.00386785525627772,0.00391393590662922,-0.000150168877995837,0.000237572082036469,0.000293616418518227,0.000487031048404649,-1.96757029364617e-05,0.000225583682386557,0.000507591667616763,-0.000131148493961878,-1.39313581869389e-05,0.000239015531608008,4.62046517461542e-05,0.000273042123858079,0.000128625433297132,0.000158695057245143,6.89589571442476e-06,-2.53082650714798e-05,2.29778257593945e-05,3.79152490420206e-05,5.61752970556783e-05,1.1365358540668e-05,6.35618403963426e-05,2.64033765066986e-05,5.38682624834358e-05,-8.94132233189966e-06,1.34990171842428e-05,1.65929744114631e-05,3.93622885847845e-05,-4.89506086429946e-05,-2.5129431920393e-05,2.13520295290693e-06,1,673,-0.58379545131088,-512.193521780291,16,1056.38704356058,1141.39856975403,"group-lasso","componentwise",0.27995401887121,16,"Model2"
3,10.1697099536486,1.3237437953,-0.0282583755199894,-0.00354599192906226,-0.008258940821899,0.0377416054821758,0.0134246404264948,0.00784567554691738,0.00726085547318837,0.00788735304207865,0.00999772378506961,0.00910233493347081,0.0106144376396712,0.00293977383974347,0.00355004756614217,-0.000694215782189642,0.00442690680152178,0.00506695194508144,-0.000364288651234524,0.000226940078864439,0.00102223891932569,0.000958061654358704,8.48843269599213e-05,-7.44472422919847e-05,0.000391800029992207,-8.14291200155991e-05,0.000330870323659719,0.000411737233664954,1.71297176591762e-05,0.000220834250356192,6.90128426197802e-05,0.000127005104470557,1.7432798338839e-05,6.52272464471928e-05,0.000135659637883432,-5.90403369073434e-05,0.000154576393954035,9.39755780803723e-05,-1.56551528564255e-05,-3.74529090744354e-05,7.97343485140201e-05,-4.36750298684253e-05,6.94257618629708e-06,8.87483336777291e-05,-1.52064697476143e-05,4.4501973721362e-05,2.73427967848466e-05,4.93450336954447e-05,3.02025282816575e-05,2.05611674512081e-05,3.93481504029581e-06,-7.53463438155623e-06,3.61451051651276e-05,1,1041,-0.497252104169541,-585.419166677559,14,1198.83833335512,1273.22341877438,"group-lasso","componentwise",0.286943804497594,14,"Model2"
4,10.1697099536486,1.3237437953,-0.0252547477758412,0.0884498948038832,0.0345628214391722,0.0248847218642226,0.154282801278527,0.0792596145704582,0.0109378523333637,0.0131115098726435,0.0141122158975289,0.0101660613435103,0.0207629731180256,0.00267607679905998,0.00225097816892316,0.00150309979152919,0.000255996239039855,0.00314225138741222,0.00113145389958659,0.00140284659684229,0.000846112216279861,0.000916142013567903,0.000343767570622936,8.0923691933222e-05,0.000105592871450829,0.000427018621607894,0.000268055729982714,0.000458237171059247,6.87097087929696e-05,6.4168333028439e-05,8.3386361986013e-05,0.000101929642399425,0.000153553925208322,-2.67497554381468e-05,7.02504438375502e-05,-7.96896219123944e-06,5.47273907425208e-06,1.20068031956827e-05,9.85336992288351e-05,1.06117267472048e-06,4.66561046292693e-05,6.26209701878348e-05,2.41274530783749e-05,2.45097649436042e-05,1.78078341206379e-05,1.09712161764776e-05,-1.32547292907155e-05,1.77564017182414e-05,-1.40183435236258e-05,-1.47978421062865e-05,-2.00291476129703e-05,-2.40125483245985e-05,4.44692415535009e-05,1,2296,-0.702287000447444,-569.494918074661,13,1164.98983614932,1234.0617011815,"group-lasso","componentwise",0.291053359357416,13,"Model2"
5,10.1697099536486,1.3237437953,-0.0218556907498639,0.033992566244828,0.0219956735892261,0.0414194815979209,0.0900137711669845,0.115302538938008,0.0186896567947669,0.0317890162027981,0.024860213659827,0.0330753729154146,0.0293077757743591,0.00320788099671704,0.0119954821095206,0.0051514222157912,0.015119297659021,0.0104222462279502,0.00139551496078119,0.00245745633825247,0.00407750125609256,0.0038596375494399,0.00216935301930531,0.000560875770185234,0.000481741516089454,-7.41625517628342e-06,0.00180836424089386,0.00073302218122918,4.01894491395238e-05,0.000219111310472799,0.000550444440737026,-6.21966936915507e-05,0.000290685257242691,-2.46226116589495e-05,0.000196651050520842,0.000210724906943475,0.000142269503058669,0.000127467388745698,6.24483132391398e-06,-1.56494809058314e-05,3.30600195378421e-06,4.66950096977628e-05,4.8739972457798e-05,2.92254599233901e-05,6.40548453609491e-05,-8.48801445077889e-05,6.82701846214363e-05,-6.82430068265392e-06,1.43027652352935e-05,-2.45715516763261e-05,3.08314608588229e-07,4.80739443412466e-05,3.01418303043463e-05,1,2149,-0.729406986060249,-551.641471287292,19,1141.28294257458,1242.2341299293,"group-lasso","componentwise",0.293327077054376,19,"Model2"
1,10.1697099536486,1.0249267459,0.0052486879895124,0.0537614103894218,0.0544444687273856,0.0616350368698557,0.087288867336728,0.0378716397287617,0.0031418114853417,0.00261431677723828,0.00370687035547572,0.00275864611215163,0.00332001156262873,0.000286441012124072,0.000623845128588424,0.000652860948459176,6.66574741147876e-05,0.000931024060619568,9.88569030164352e-05,0.000303943188429668,0.000604098684838716,0.000418116607880033,0.000293946101838062,0.000100855414862424,1.37397439603575e-05,2.42334158228072e-05,3.91719181189893e-05,6.05652575412554e-05,4.62923373841747e-06,8.42047982419474e-06,7.09173313159502e-05,9.70232955100318e-05,4.81001733291407e-05,4.81086465782538e-05,0.000100352996391571,-2.87458333184338e-06,2.67226012041336e-05,8.72726039748709e-05,-3.00202503177161e-07,2.82015459618669e-05,1.17242987993759e-05,-1.08183803448631e-05,-1.27205990627471e-05,-2.51546558186641e-05,-3.88259517313064e-05,2.26300545435705e-05,-4.77759100507005e-05,3.22108824640796e-05,-1.7813424681193e-05,2.19164514113169e-06,4.37889521626916e-06,2.70246095874137e-05,4.12127497712684e-05,5,3000,-0.43436020393768,-422.988743396138,10,865.977486792275,919.109690663178,"group-lasso","componentwise",0.269244115209612,10,"Model3"
