"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.1697099536486,1.7096808554,0.0351399552117482,0.155383786356853,0.139631361824542,0.0516574556157412,0.153609668532441,0.0594436914211955,0.00266778849238691,0.0120203950417755,0.002502338578085,0.00757794527245523,0.0122724513105891,-0.00101076438206732,0.000172687398913466,0.00089759008242182,0.000234841811565684,0.000217891387365123,0.000752494248091447,-0.000264281632787031,-0.000141227948212055,-4.94115336505978e-05,0.000546268474222494,-0.000121977315541385,-0.000196948491866959,2.17006112898561e-05,-2.07784461767003e-06,0.00011607251832903,-6.02389910011868e-05,-8.41549746135687e-05,0.000160273299202926,-2.01576609357031e-05,0.00012135606791222,-2.72290735540961e-05,-9.06760059015158e-05,0.000114422206888457,2.3681612550519e-05,5.37050973864398e-05,4.98396206232864e-06,9.9956561338887e-05,-3.02648055949658e-05,-4.84514546723896e-05,2.85854839983475e-05,-0.000134847295335294,-5.54408067862366e-05,5.56108935127123e-05,-7.95758578070183e-05,5.52431380877293e-05,-4.93179176408965e-05,1.00879007034285e-05,-4.0470549777395e-05,2.63218495897294e-05,-9.31508302764441e-06,1,992,-0.734714219928089,-361.529985236743,10,743.059970473485,796.192174344388,"group-mcp","componentwise",0.26109080676847,10,"Model1"
2,10.1697099536486,1.7096808554,-0.0353151789606037,0.0221847129839427,0.0330605805525844,0.0303387679210194,0.0141858740006825,0.0271557746819405,0.0158555154090503,0.0191924794589363,0.0135174369703768,0.0154640094587949,0.00904716783127059,0.00353537063025174,0.000782587186738607,0.00474049675179525,0.00211381807287482,0.00354245351163927,-0.000657336376906449,0.000359710896520168,0.000482304518996422,0.00203841188096621,0.00316313841630823,9.70943198269899e-05,0.000601141568960038,-1.57427822331584e-05,0.000125541141956538,0.000868037422713837,0.000150302844040561,1.43615396024975e-05,-0.000137132948790359,0.000303756108630397,0.000341159135556066,-2.78525489021849e-06,0.000121499008189008,2.97725158000147e-05,0.000124106545818805,8.33884202637606e-05,0.000116945194597861,1.91513157258657e-05,5.75186260959469e-05,0.000119304722545035,-2.26072282045623e-05,2.80937728609388e-06,-1.70150070093177e-05,6.12924982882052e-05,-1.39168035912442e-05,6.04356880741643e-07,-1.55078872719823e-05,-2.36918863798612e-05,6.30283822402554e-05,-0.000110456612729976,5.65367192094917e-05,1,1044,-0.604583787246519,-606.385521324231,16,1244.77104264846,1329.78256884191,"group-mcp","componentwise",0.292207663711025,16,"Model1"
3,10.1697099536486,1.7096808554,-0.0252832238303682,0.0130468818489071,-8.31586983809614e-07,0.0428234624343977,0.00157721976877446,0.00955863370973649,0.00327992279300315,0.00624665942563048,0.0256905673710603,0.0157662184488712,0.013528893922125,0.00320643701628549,0.000932480610242497,0.00452483269773508,0.00320442380550462,0.0030148617953187,0.000185763174714008,0.000489113772725814,0.000387362083035242,8.9471366647169e-06,-9.92289625535575e-05,5.79111748808044e-05,-7.46188120536578e-05,0.000226975769309477,0.000263323927180745,0.000463744989505487,9.42571070186755e-06,4.26215115795249e-05,-0.000119231212931173,-7.48989863826252e-05,-0.000252413652977958,-3.67841821421386e-06,7.00116602592729e-05,-4.13324910705671e-05,0.000126981419403654,2.94293822670805e-05,-2.86349626435587e-05,-9.40004966526431e-05,8.41532542089762e-06,-5.0154740215508e-05,-2.36008563690161e-05,4.49820216717896e-06,-7.13221689331633e-05,-9.31539364997758e-05,2.9229511769989e-05,-7.18758376646606e-07,-5.74266642072852e-05,-6.44308896110122e-05,-1.3489759310623e-05,1.62766712533299e-05,-3.45859742669441e-05,1,785,-0.545808733591746,-558.862505511846,12,1141.72501102369,1205.48365566878,"group-mcp","componentwise",0.283772941477246,12,"Model1"
4,10.1697099536486,1.7096808554,-0.00191823300660321,0.168204780760279,0.149750171081712,0.0144887338014237,0.171456658732481,0.0260837112297888,0.00818152303131401,0.0169056231970936,0.0197761571089388,0.0998529541214713,0.0100922298326054,0.00239360301031476,0.00173172254894757,0.000771230554116255,0.00318013182651239,0.0025663922618479,0.00013102995029584,-0.000802671445415758,0.000426288541437864,-0.00052340762035813,-0.000199102052583582,0.000117070117151798,0.000132101034058308,0.000278974519417786,-3.18081379642907e-05,0.000208109978273451,1.93913121699994e-05,9.88524027665745e-05,1.95098778964433e-06,-1.71142374051615e-05,0.000266762258015613,-0.000135527591841883,4.89545850256372e-05,2.41327797140001e-06,5.8292697037513e-05,-5.97950615187427e-05,-4.17431720098488e-05,5.2933479552782e-05,2.92111114549889e-05,-2.28963676944772e-05,-1.15256770654641e-05,-2.94581741661308e-06,4.1778526874091e-05,-1.59726317046047e-05,-5.19701336161602e-05,-3.34522994963299e-05,-3.27268888887874e-05,5.93774271247782e-05,-5.2812793218862e-05,-3.79907570536082e-05,-1.6293814489083e-05,1,1169,-0.991988677806713,-448.969701521524,13,923.939403043049,993.011268075222,"group-mcp","componentwise",0.274626513918706,13,"Model1"
5,10.1697099536486,1.7096808554,-0.00692636252973315,0.106538298900907,0.052746463924701,-0.0630410039667822,0.0475358248920101,0.27099428434692,0.0312875811240243,0.02126500226177,0.0205612343769254,0.0385286720038162,0.0627776373812144,0.00269241553155471,0.00684391009947792,0.00429204935048627,0.00479478052237996,0.00804650183604835,-0.000175789683279372,0.000970493255840468,0.000143001550079147,0.000858267272990792,0.000391814626758469,0.000406364719099504,0.000512497694079191,-0.000173378233281783,0.000253923150217269,0.000308358039911007,0.000100431695512859,3.36532774695067e-05,3.1056405685018e-05,7.74791515058159e-05,5.24184376344949e-05,-6.05144144947735e-05,6.53445058098671e-06,7.77860873310874e-06,-3.55338644965741e-05,5.94638932106117e-05,3.44270060723894e-05,2.60878203069122e-05,9.44119503339422e-05,1.05992859581969e-06,0.000149334416006925,-2.65021202430029e-05,-7.95932941343687e-06,-8.79687417826718e-05,-4.41386405680316e-05,0.00013825374848455,1.66430517705942e-05,-6.86193830752231e-06,-3.04323206387587e-05,2.64110158757837e-05,3.22685659365697e-05,1,952,-1.02443046737641,-483.496235699238,15,996.992471398476,1076.69077720483,"group-mcp","componentwise",0.283465009724129,15,"Model1"
1,10.1697099536486,1.3237437953,0.0124588663141178,0.0644164653842913,0.0389097895832912,0.0650902657622583,0.0557464367269354,0.118364343631419,-0.00261005697626858,0.00445724991401125,0.0024141704951295,0.0121026796119436,0.0080994917057079,-0.000596659641373214,0.000282657606224583,0.000891226379680919,0.000771171755968929,0.000958359264434739,-0.000201273996812358,0.00053596756154975,-2.28453544293093e-05,0.000232144404309757,-0.000104485287100685,-1.04941445013343e-05,0.000152898598357511,3.07214700062746e-05,7.76911774338689e-05,0.000102146909319194,-8.16004860185954e-05,0.000105801315256434,8.63692666556002e-05,-5.79301220964902e-05,0.00017167485520533,3.87689566673731e-05,-4.14589643361584e-05,-1.63031674652118e-05,7.10781995065949e-07,-2.17457407995206e-05,-1.09509204440333e-05,5.41046201642657e-05,1.81723260523426e-05,6.079070836779e-05,-4.63155258720332e-06,3.24495492769852e-05,-1.91295480967116e-05,5.26306851234083e-05,5.84530564543314e-05,2.85323880082233e-05,8.97197950062462e-06,-1.55492792042831e-05,3.07315287870365e-05,-2.0418249321321e-05,6.7711264119114e-06,1,1984,-0.505585460471662,-397.23276716197,10,814.465534323939,867.597738194842,"group-mcp","componentwise",0.265041853425331,10,"Model2"
2,10.1697099536486,1.3237437953,-0.0300061828812326,0.00948944593131437,0.070238728265929,0.0441942224876844,0.026562713950487,0.0317460393401908,0.0167939052298982,0.0190999378786611,0.0130414906698933,0.00920299813231838,0.0123366357756175,0.00033111038613916,0.0010397569448251,0.00121100495835963,0.00338266963763023,0.00274510743678744,0.00108311961501877,-5.74319810270868e-05,0.00207514970000251,-0.000252312203651245,0.00154832276893135,0.000107510968699033,0.00034704322648352,0.000265170697444322,9.40606696954865e-05,0.000392781044361915,6.33831763399646e-05,0.000121387302019668,-7.25205894304828e-06,8.60687471556797e-05,0.000196989389168452,6.96425065940177e-05,1.72315379718687e-05,8.79855295875021e-06,0.000112242493141318,0.000122360358153483,8.58125078370503e-05,0.000109773641449059,3.78092421712899e-05,9.35165915812768e-05,6.16302189521506e-05,3.58758996379565e-05,7.06359527954266e-05,-5.18342562691831e-05,1.57380476298007e-05,4.70910004268675e-05,-5.95769313167666e-06,2.89572503656716e-05,-5.7971156058945e-06,2.46929527883607e-05,-6.72922825614356e-06,1,1390,-0.562082628460016,-563.764257652403,13,1153.52851530481,1222.60038033698,"group-mcp","componentwise",0.286704067097378,13,"Model2"
3,10.1697099536486,1.3237437953,-0.0236190596250526,0.00765324761891394,0.0168456107332494,0.0395026589408823,0.0102947164192186,0.00501989458130067,0.00214437902489889,0.00785664796301365,0.0160023793035725,0.0154755607945469,0.00585191429377589,0.00489126925749706,0.00317914459475108,0.000384528923714327,0.00352813197822537,0.00655758334323265,0.00149252142108093,0.0023091395399123,0.00256402199895367,0.00100699300806013,0.00143601507621499,0.000333382520012187,0.000998554783410103,0.000635062187802448,0.000160990981223374,0.001292615884963,0.000151113167779384,7.88678063297901e-05,-0.000145491206679004,0.000300881544424904,0.000433249136988575,-3.14982456712002e-06,5.65724972942939e-05,8.47480367488932e-05,-5.1145650354028e-05,6.15019014995547e-05,7.83677594780987e-05,5.39843057772961e-05,0.000184995233025408,8.70870580289159e-05,0.000120144565905575,0.000157331956308512,5.4674832638194e-05,9.96836995213293e-05,-2.92441070917709e-05,-5.00499441617308e-05,-2.61395373290335e-05,-2.74449011190651e-05,-4.33451240349105e-05,-1.43884860217633e-05,1.67157912206622e-05,1,747,-0.49353959469633,-547.679786238985,16,1127.35957247797,1212.37109867141,"group-mcp","componentwise",0.282351600836035,16,"Model2"
4,10.1697099536486,1.3237437953,-0.00550156576184977,0.071385790650303,0.0303503635837605,0.0866530706028781,0.201687825928051,0.0487115571843895,0.0146819450650519,0.048438356389721,0.0631019845009038,0.0426105256096256,-0.00340754648289392,-0.00188832002917446,0.0193777486220142,0.0132427230746312,0.00752315372463504,0.0120159152559751,0.00101469913753173,0.000446794270408921,0.000268431531202381,0.000928467422837748,-0.000189741157963474,-0.000112044929650546,0.000333593202515923,-0.00019374873832055,-0.000126287588263864,0.000638771506616917,0.000109533613849609,0.000245396181619434,4.51887314018632e-05,0.000266801036806663,-0.000114575467114935,-4.74513502984672e-05,9.73384907370029e-05,2.28703638636959e-05,1.84218734437525e-05,3.81698019370001e-05,-3.57857723887508e-05,-1.20200060006397e-05,5.81543220336401e-05,-3.62577658297441e-06,2.97938469267593e-05,-6.0885040173347e-05,-8.34923782059216e-07,8.30368305063096e-05,-7.62413416162486e-05,2.62752832504121e-05,9.11442362266735e-05,1.76787832074471e-05,-6.70366178473094e-06,9.79735455623905e-06,-5.18579955846401e-05,1,1055,-0.790604357103797,-443.92039824013,14,915.840796480261,990.225881899525,"group-mcp","componentwise",0.274564236304855,14,"Model2"
5,10.1697099536486,1.3237437953,-0.0218220135194314,0.0419304881670163,0.0395789729247133,0.0334636020413169,0.0682049752069395,0.0726740524911821,0.0291493105966722,0.0424938088633083,0.0332998731983178,0.0404130769722853,0.0624928040602304,0.00641273262797087,0.00754802687608431,0.00503139291780134,0.0118787730558381,0.00723948341494437,0.002664026283663,0.00116020494412319,0.00361147069289981,0.00297495131089465,0.0019049563252373,0.000164778544622688,0.0010474067935174,0.000396606628101221,0.000915443487363911,-0.000260424208877993,8.9795408926054e-05,-1.87783418619361e-05,0.000246172926264046,0.000348195421222287,0.000362703890262507,9.51762882087446e-05,7.41006324224215e-05,-4.90075428979057e-05,0.000224714094413359,0.000209721674942756,4.57411062479307e-05,-2.24528051737539e-05,5.55937466930233e-06,5.20064188077441e-05,-8.13407752748239e-06,6.23077059327277e-05,1.64169878706356e-05,2.16267083760935e-05,4.27753517160543e-05,3.28023156258116e-05,-1.2230819296914e-05,-1.01416511153475e-05,1.31463392258915e-06,6.43071333553904e-05,-3.24151092071223e-05,1,1424,-0.725500432860577,-537.435267704568,18,1110.87053540914,1206.50850237676,"group-mcp","componentwise",0.291384660765761,18,"Model2"
