"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.1697099536486,1.7096808554,0.00225582606629687,0.0975367015638677,0.0617289345166187,0.0252153135400444,0.0432578290221305,0.0206640239233341,0.0168590271632865,0.0073215737953153,0.00202778458670906,0.00786199362459149,0.0103191394259383,0.00516581193216398,-0.000322002781111118,-0.00107130494185822,0.00204205159919635,0.00390710593696735,0.000290951021790756,-0.00013498347670865,0.000596086982227564,0.000742261621633978,-0.000194530118126643,-4.4963799540769e-06,0.000354879696820742,0.000249554874798984,0.000328231865567711,0.000355882300863178,0.000157977270008831,0.000164303343223248,4.59852056143721e-05,9.52278633969851e-05,0.000288586939955214,0.000100281769917274,0.000106899769322151,-5.22793115291661e-05,3.67365230628002e-05,-7.30201757518168e-05,6.53069686216585e-05,0.000137173156317162,-5.00513126749039e-05,-6.8718115249649e-05,0.000172353603384533,-2.70265729822327e-05,7.51425395307615e-06,1.0828391896162e-05,2.72729052170417e-05,1.23934533265257e-05,5.44749782298392e-05,-2.16461446523399e-06,1.60927535661644e-05,-4.15955522946191e-05,4.24521002361615e-06,1,1251,-0.573969533112345,-439.409748313459,13,904.819496626918,973.891361659092,"group-scad","componentwise",0.271603120968774,13,"Model1"
2,10.1697099536486,1.7096808554,-0.040553124648145,0.0090665970754107,0.0323288989522718,0.00898559919698339,0.0144676065529746,0.007735077354924,0.0115776892409471,0.015312085040811,0.0176168052279252,0.01927733393501,0.0131979654694552,0.00297831559078362,0.00302389448501604,0.000492877256211407,0.00379507833971898,0.000546059799427068,4.03538187348103e-05,0.0019876419900796,0.00165635977189019,0.000364971388674501,0.00200185432774928,6.7414499270603e-05,0.000530346781081499,0.000321906255664344,0.000394599932669903,7.89464762906604e-05,0.000307284279873341,0.000129468832120113,-1.77640481357379e-05,0.000270839080566277,0.000187774772990429,-6.01650720469791e-05,2.53035032293895e-05,0.000139848395083186,-2.13165075565148e-06,0.000193203809995472,6.32303650278187e-05,0.000115532036679457,-0.000124546959578617,0.000113476268560524,0.000149767017731884,4.03717825743297e-05,8.29982325504088e-05,0.000102026308024612,0.000109299438797812,4.36793788668198e-05,-1.79676161276978e-05,5.8579529940324e-05,-9.95246022844754e-06,5.59002341993506e-05,7.86682803663965e-05,1,891,-0.611595410770408,-658.46438986919,14,1344.92877973838,1419.31386515764,"group-scad","componentwise",0.298666450054245,14,"Model1"
3,10.1697099536486,1.7096808554,-0.0312410103686177,-0.00355773425643693,-0.0163738189738855,0.0307853552769637,0.0181856357469674,-6.48767154804329e-05,0.00379341906660568,0.00845142816702503,0.0140731871867795,0.00811063568809172,0.00205276334042598,0.00172640819162435,0.00310554874527402,-0.000798116577255131,0.00447437650166387,0.00308257036231422,-2.31300571043994e-05,0.00216905214038439,0.000843154735415757,0.000512619421828139,0.00163866803103069,0.000234903771228878,6.9504756770582e-05,-0.000247072870043459,0.00090561420822178,0.000172777572516015,-1.59968832648389e-05,0.000256330611053861,0.000245167396538837,0.000220341872002671,0.000249680372266395,4.30870682014978e-05,0.000236552994585999,5.05790646534354e-05,4.13732556176186e-05,0.000104551408606696,0.0001045640651665,-0.000128156670667629,-5.46142966092261e-05,7.43040348933704e-05,0.000103858816216102,0.000100316392790593,2.02122155903302e-05,3.12811993928071e-05,2.55557225067791e-05,-6.93018848731228e-05,-4.38985700715669e-05,-1.2217954406927e-05,5.16331574939076e-05,3.49706670696093e-05,-9.52181516436255e-05,1,635,-0.541231625957409,-613.005367232357,13,1252.01073446471,1321.08259949689,"group-scad","componentwise",0.29041264569379,13,"Model1"
4,10.1697099536486,1.7096808554,-0.0337252293644553,0.0977957236256072,0.0655348429644648,0.0299176663381693,0.13221972594195,0.0393289750471296,0.0085248286434752,0.00764981673113594,0.000369466345489717,0.00431814195016595,0.00258244288494807,0.00108817465622616,0.00103783752328052,0.00061439334148613,0.0057506318500848,0.00257505568487026,-7.0707395507381e-05,0.000444518558564379,-0.000155483618794649,0.00101921853207194,0.00084359667252021,0.00015962006240918,0.000248479718794157,0.000213450462724687,0.000145328076606465,0.000247615389530497,0.000189174354896238,0.00019519437057737,-2.66971595222508e-05,-3.39875915757602e-05,0.000244268728374249,0.000106434925013715,-9.46471395934302e-06,9.42030827710742e-05,0.000173456670689689,0.000111041249815872,-2.36378872558175e-05,0.000103391669995352,-1.65119682232803e-06,2.85688514065093e-05,-1.99752777177051e-05,4.47880678936677e-05,2.5591902746913e-06,5.30927788134191e-05,-4.45434201181396e-05,-5.0753342019027e-05,2.18638247470864e-05,6.3639839875131e-05,1.76895299187107e-05,-3.58783398740194e-06,3.87569381774975e-05,1,2425,-0.787372261061256,-646.075443338619,11,1314.15088667724,1372.59631093523,"group-scad","componentwise",0.300750057249455,11,"Model1"
5,10.1697099536486,1.7096808554,-0.0176321338362109,0.0931626210082714,0.0144969634033814,0.0388028419427104,0.035719165099604,0.166952838342864,0.0183818881649,0.00954915189707413,0.0239503594005017,0.0277743211629784,0.0702394537176331,0.00745625789147315,0.011228947459032,0.00676017690320679,0.00755675535304676,0.00919120206186164,0.00283620556751367,0.00295913609362346,0.00375170890065284,0.00108482982059063,0.00184181150683863,4.74518118337891e-05,0.000774986426717106,0.000302166054196303,0.000437810204819317,0.000517334133462042,0.000128034247850417,-0.000170515258534715,2.2750914973885e-05,0.00027751995764019,1.73916933847712e-05,3.00130569977742e-05,2.65366729783517e-05,0.000130886606050276,0.000124440218777202,8.95267549493263e-05,1.6620049832654e-05,0.000105714544686108,-8.7019385303684e-06,-3.59586171214985e-05,0.000136556042972941,9.05786184631616e-06,0.000137458669202071,2.87722077164588e-05,-9.99797879381023e-05,2.5636942605071e-05,2.87928268522421e-05,2.72770790482219e-05,1.56408585857333e-05,-2.0269246772221e-05,2.09550436382798e-06,1,1005,-0.915497885539137,-528.335953888814,18,1092.67190777763,1188.30987474525,"group-scad","componentwise",0.290278358184174,18,"Model1"
1,10.1697099536486,1.3237437953,0.00764782865220907,0.075025011324858,0.0328168899137039,0.0563695296379429,0.00562472504576256,0.077814846395889,0.00980252497546635,0.0174215977423999,0.0127345126898142,0.0150923808512152,0.00758372373456514,-0.00392850180826192,0.00314076654654217,0.00857747617464217,0.00758792130221213,0.0113508562377292,0.00104216703961671,0.00131891909488328,-0.000695070740429305,0.00115893424909001,0.00336850065368721,-0.000390205189145421,0.000311996224361224,0.00031374698456884,0.000577439745817921,0.00028825031793832,1.90500851985739e-06,0.000171889598051329,3.9543262496037e-05,0.000160336305330955,-6.64229029941355e-06,1.28849553187788e-05,2.12749543060555e-05,3.97757421586055e-05,-5.10085813911839e-06,2.92605446344629e-05,-2.79825069809382e-05,7.19226947551546e-05,8.12346451850426e-05,6.40701109118707e-05,5.45062636700465e-05,-4.18085511646743e-06,1.86562410544845e-05,-9.63122964195488e-06,5.10418324939798e-05,0.000100060988923613,-9.72372497108965e-06,-3.14377875615989e-05,7.42136394981983e-05,4.32222610494529e-05,7.18768940638692e-05,1,1509,-0.525555245383463,-412.808144139244,16,857.616288278488,942.627814471933,"group-scad","componentwise",0.267358383717817,16,"Model2"
2,10.1697099536486,1.3237437953,-0.0241621926687002,0.0174708422492282,0.0637710569718038,0.0413713591601908,0.0131969722816543,0.0258918531579253,0.0313313686487865,0.0330649539108733,0.0187941574174184,0.0243242375555149,0.0161665307974844,0.00757854349862629,0.00769387370360522,0.00258521368065678,0.00678916280270467,0.00454691882794038,0.00203202276377674,0.00298493020401651,0.00240360103419753,0.00149362309366205,0.00278981369147161,-0.000133360666026531,0.000514319061931253,0.000631016950034935,0.000161532059716493,0.000705546730307276,7.7572559072708e-05,0.000347302067312969,3.1141135671521e-05,0.000437933920603486,0.000288694953772688,-0.000106371406648605,0.00013845341642081,-0.00014625257453485,-6.33659010095154e-05,-0.000135307581032536,-5.55566605560404e-05,0.000116735321356509,0.000225986747193362,9.97302187708156e-05,0.000117775562543836,-3.06283376479362e-05,3.16946778536879e-05,0.000143040672619017,4.57869796315308e-05,3.1423359757298e-05,3.88336255031286e-05,-2.09077551086454e-05,5.11144019979208e-05,1.03786933986806e-05,-1.13702397456763e-05,1,651,-0.586347453127509,-512.178759082681,19,1062.35751816536,1163.30870552008,"group-scad","componentwise",0.279996646149357,19,"Model2"
3,10.1697099536486,1.3237437953,-0.0251139864265929,0.00202071482543573,-0.00685544661804105,0.0356163118732537,0.0166071927942302,0.0126279040962339,0.0135671723533133,0.00823030329078261,0.0149463225101579,0.0105506136097808,0.011939360779087,0.00229227884102179,0.00404846010261725,0.000791141677114584,0.00181303938230716,0.00424100464927559,0.00175079744534031,0.000533136917868112,0.000288643276012319,0.000929345458900919,0.00375159108099481,0.000214346850233892,-5.22708639548498e-05,0.000337206073177072,0.000290738302919794,0.000589517003935691,-1.47764617225448e-05,-9.4487932819331e-05,0.000334159545882901,0.000127062847207445,0.00020225870673277,6.42702415172239e-05,0.000137254798238843,-0.000116681153217842,8.98912355907094e-05,0.000166161746704633,4.87340836853288e-05,4.63248878395962e-05,6.72857058088748e-05,0.000157675368651906,9.7381445326703e-05,-9.55267918236638e-05,1.41277623260058e-05,8.14846620394481e-05,6.56481121416874e-05,6.26203042776793e-05,-1.96149053484013e-06,0.000100380992043194,4.80116250772584e-06,-1.09284572529412e-05,-5.90239839970782e-05,1,963,-0.494489786951199,-556.376794871316,14,1140.75358974263,1215.1386751619,"group-scad","componentwise",0.283296614586129,14,"Model2"
4,10.1697099536486,1.3237437953,-0.0130410107957214,0.0918867915691046,0.044979800864237,0.0330945672847853,0.202884173592197,0.0859934885952489,-0.00430864266827289,0.0237200632350152,0.0161433853750384,0.0391077573479645,0.0130888733069188,0.00642622908226371,-0.000642837421091752,0.000156214781389024,0.00431400355279352,0.00423391879581105,0.0015720356540491,-0.000185172278504428,0.000313473943756558,0.000534555807085747,-1.87395063809674e-05,-0.000168024805275107,0.000375747810439961,-9.56328660622606e-05,0.000358308166577997,9.12219648502394e-05,0.000365137767434844,3.38296838775255e-05,0.000180636400501229,8.20993544756349e-05,0.000334562550812883,-0.00010539070985122,-7.30194352057439e-05,-3.38188058986199e-05,8.07008409329609e-05,-0.00012116059027889,-8.00778908378856e-05,-2.12807282162236e-05,-2.18214753771143e-05,-6.12451797202679e-05,7.01009421570566e-05,-1.11972404353878e-06,1.73724929656128e-06,2.58266871419792e-05,3.31593179915984e-05,3.05058404625221e-05,4.25548850823089e-05,-1.11988034577433e-05,-9.23550677608706e-07,-1.46190737342907e-05,9.63651418497534e-05,4,1445,-0.747339640042458,-496.001005761133,13,1018.00201152227,1087.07387655444,"group-scad","componentwise",0.281501094287419,13,"Model2"
5,10.1697099536486,1.3237437953,-0.010157953743752,0.0224536358245558,0.0395633862665687,0.0597477140003697,0.0900767200698586,0.158151282482333,0.0179257146083961,0.0466164677221803,-0.00253317399529918,0.0326532732589857,0.0897292097549081,0.00571508947578303,0.0104526229186801,0.00739643142004248,0.00688215671816213,-0.00340787217154404,-0.000673978139542199,0.00156630959490194,0.00175037233567153,0.00258330313785551,0.00264149160464316,0.00055824401480218,0.000425905504070915,0.000481014560064292,0.000501747713210464,0.000487389048712886,0.000292484704951619,0.000104933254824958,6.48976333042434e-05,8.20862322847371e-05,0.000167067225055068,2.80521028548975e-05,3.84953870054431e-05,-0.000148785727406423,0.000132231224086285,8.58612497397403e-05,-2.57179075861117e-05,0.000213476246819355,-0.000106702061626482,0.000132444437429506,4.9175106865733e-05,4.93540120815639e-05,0.000151847227365631,-1.71197194753917e-05,-5.96004414987749e-05,3.33041125084623e-05,-2.37438005645568e-05,6.21871670612534e-05,3.10312839188825e-06,3.33543778468149e-05,2.64396969041267e-05,1,1448,-0.795649730351799,-481.120249134701,17,996.240498269402,1086.56524484994,"group-scad","componentwise",0.283606858817033,17,"Model2"
1,10.1697099536486,1.0249267459,0.00926338373639189,0.156711838201133,0.0199772979267291,0.0483985039796027,0.056011063938444,0.0243992999718432,0.0064471937648347,0.0107645426764675,0.0148373567024047,0.017956712322241,0.00559479982968251,0.00594243124535749,0.00187491281327412,0.00125347261853256,0.00665765858432954,0.00365691206871851,0.00234262689958481,-0.000188317339623556,0.00141854834955648,0.000693983512543644,0.000318450418736898,0.000210396593264558,0.000240815484004462,-1.00512021707037e-05,0.000782973694807688,-0.000249248992754987,0.000138703769076672,4.67037543286976e-05,0.000183975777909063,0.000139552187912799,6.16925358689091e-05,9.70808085507212e-05,4.94305555418646e-05,-0.000110299268992626,3.3925046135759e-05,9.70190226813582e-05,-6.31349271126739e-05,8.70988610322827e-05,-8.62214206970722e-06,6.76852376485957e-05,5.26531914483888e-05,0.000133572870915495,3.90948939391924e-05,0.000113515278215136,3.47154439073877e-05,-6.694894477838e-05,-5.01952241225707e-05,-2.4914033935464e-05,2.28216064363043e-05,8.11246185234161e-05,-4.28266956022771e-06,4,1472,-0.502670781788948,-409.188628352918,14,846.377256705837,920.762342125101,"group-scad","componentwise",0.267496362979608,14,"Model3"
2,10.1697099536486,1.0249267459,-0.0219602232670897,0.0150201382582717,0.0735748612593027,0.0226489679589435,0.0404602127110325,0.0459058618687904,0.0178573792763302,0.0255289041664842,0.022064131194866,0.0138922234117922,0.0135676694057673,0.00329302376460074,0.00560162034800255,0.0100315036634293,0.0050415807566743,0.00460688754911125,0.00223771043001511,0.00228261041840868,0.00193358138565957,0.00398628825706899,0.00401027280342936,0.000352093519358195,0.000741450352370534,0.000679672140172372,0.000534747858165596,0.000427141218028037,5.59336351939994e-06,3.89518702724526e-05,-1.91329658229041e-05,0.000101566810542812,0.000162453177282824,2.21104154320314e-05,2.44763420395775e-06,6.84031038209513e-05,-9.32726630899426e-05,-3.61221969632205e-05,6.67362710362061e-06,3.29125536435782e-05,6.22942755814329e-05,2.63450022191848e-05,5.82221038027706e-06,3.68247252317798e-05,-5.4279638587825e-06,-3.04368803671253e-07,7.80108438258791e-05,1.97264841065879e-05,1.78435790811695e-05,3.53325865808967e-05,-3.17062101629806e-05,-8.03641072114289e-05,-4.95735765429107e-06,1,947,-0.517164565363305,-499.666823639338,19,1037.33364727868,1138.28483463339,"group-scad","componentwise",0.278226654739962,19,"Model3"
