"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.3353497328377,1.7351220676,0.0196985249089071,-0.00490285641583846,0.000420818815435945,0.0126527553009841,0.00623712344801159,0.0248754664155482,-0.00554465820062943,-1.95568531156862e-05,-0.000367549609409459,0.00146525410312455,0.00118329114556989,-0.000376137243411491,0.000176260386217861,0.000210974228055677,0.00059131387597903,0.000751446415979822,0.0346731866588579,-0.00014062536050256,0.00120920160067595,-0.000356459633148276,6.77899061834355e-05,0.000452844149971837,9.51238851216702e-05,-8.8326492544255e-05,-0.000590257342648445,-5.15588694075549e-05,7.41380913680703e-05,-8.6580542009237e-05,0.000108757996494993,3.40588185742687e-05,8.45520016905412e-05,1.3579434085808e-05,-1.15962565402276e-05,-8.32947432504003e-05,-0.000101698443041863,-0.000173587825826743,4.01279591082336e-05,4.33801229294552e-06,-0.000115146796593103,-7.81822187477854e-05,-3.76496670193704e-05,7.12696461794241e-05,5.0291164724437e-05,2.11457430910505e-05,-2.47475841171699e-05,1.04255738308999e-06,-2.72049153171e-05,1.11914252200547e-05,4.80741679340353e-05,-3.93272849473302e-05,-7.59440243580903e-05,1,734,-0.631740512610321,-428.259681826181,6,868.519363652362,900.398685974904,"group-lasso","elementwise",0.266255545711896,6,"Model1"
2,10.3353497328377,1.7351220676,-0.0183126411584655,0.0153292654649992,0.244735799492228,0.0164298461006998,0.0115027483077045,0.00064169215515921,-0.0015067489283469,0.0202767438372531,0.00254498340512892,-0.000447568736200143,-0.0106315799702628,0.0010643658400373,0.051203573286318,0.00489295485350617,-0.00351761398815952,0.00299936675472001,-0.00111202236475599,-0.00320429558231379,0.00183244798728365,0.00120537020581972,0.00172700407700838,0.00202741371693083,0.00850309573528762,-0.000593034929990616,0.000703625188358736,-0.000805789930919862,0.00141872200518711,0.00691867014317118,-0.00120604721740168,-0.000247244290683063,-0.00221294808113119,0.000324783536537467,0.00464869587467935,0.00032258429926226,0.000536486377615688,-0.000889606259976069,0.000217075226484917,0.00014938616542878,0.000185863286919106,0.000106930532418824,0.000258064293356698,1.82554882927433e-05,0.00113018854127101,-4.26976864602371e-06,4.16932996094038e-05,-0.000416607293715492,1.73971052089866e-06,-0.000230652141716619,0.000106839028682301,4.09928945061035e-05,-3.0930731736939e-06,5,1500,-1.28379974495087,-558.070705133585,17,1150.14141026717,1240.4661568477,"group-lasso","elementwise",0.285907667420681,17,"Model1"
3,10.3353497328377,1.7351220676,-0.0297457428326358,-0.00446464476204357,0.00231086404578657,0.157393769310084,0.00454128355305709,0.00830136210404683,-0.00210692088180481,-0.000361281017521386,0.128005071845488,-0.000451919611206592,0.000868430306897185,0.000455652782959635,0.000765999485637474,0.067806120921662,0.000261541653945755,0.00128021411076911,0.000471898241567483,2.16721842470091e-05,0.00929822642641999,6.87801450792582e-05,0.000337646221093886,-4.08899041005523e-05,6.77512555746359e-05,6.13432417901575e-05,0.000117831890353219,9.23511264419326e-05,0.000257069108456646,-5.02210174334578e-05,0.000152091586908874,0.000119006546843003,7.79323818110515e-05,-5.1614452348968e-05,-5.3503348861497e-06,-1.00949837866359e-05,-8.45997196440447e-05,-1.95740513342285e-05,2.77686511162598e-05,-8.16481007342312e-06,-4.98333003400611e-05,1.56445929062562e-05,-1.75813884503305e-06,1.28303847631321e-05,-2.55995218107441e-05,-4.88674145080865e-05,1.25395302498821e-05,3.08874817960418e-05,-4.84540960742545e-05,8.29043174680724e-05,-7.07469018427706e-05,2.40966651240048e-07,9.93552033193633e-06,1,1437,-1.22462092775505,-614.086948066702,9,1246.1738961334,1293.99287961722,"group-lasso","elementwise",0.298026136699318,9,"Model1"
4,10.3353497328377,1.7351220676,-0.0495451301034874,0.00282464746721013,0.020297229136264,0.00358748750072108,0.000820713412756271,0.00947230379991834,0.000635283964731195,0.00247152775981817,0.00455224780744582,0.00337640755334886,0.0164798822678433,0.000213044684287892,0.000337951941226275,-0.000263582017606921,0.00268367322335669,0.00887060207324498,0.00020248395169726,0.000182705852807461,-1.81935817571063e-05,-3.61905428748731e-05,-0.000506980601488909,0.000188805991052712,0.000226536715585675,-0.000241335224487395,0.000218752543293986,0.00121979050352121,9.22372476228006e-05,-9.89216522674357e-05,-0.000159931549383151,4.56087737696401e-05,0.000349328322788678,-4.71853060668692e-06,0.000147774095226258,-7.95287270114326e-05,-0.000128575667921497,1.75322407536213e-05,-1.43949502158e-05,-3.02406885036462e-05,-4.95875064639333e-05,-4.49002088694686e-05,6.72003287795176e-05,-1.59152713312435e-05,-6.59263167002007e-05,2.14568688225061e-05,3.69196041069847e-05,8.80237808708459e-05,-4.16523581216879e-05,3.34999234704921e-06,1.78405809366416e-05,5.94927710335532e-05,-2.88345417783131e-05,1,1384,-0.819768539143335,-954.370149077775,10,1928.74029815555,1981.87250202645,"group-lasso","elementwise",0.331954095383662,10,"Model1"
5,10.3353497328377,1.7351220676,-0.0334496600878659,0.00906633950573808,0.000617706694683873,0.0544326398491362,0.0111053941013846,0.0723401633096251,0.00558234965375941,0.00010011893578635,-0.00239786041979939,0.000506954597708991,0.223661387792923,0.000884042124530195,9.31990226622105e-05,0.000591901647113677,0.000206978847361528,-0.000354215127387205,-6.43205863116248e-05,0.000151111580348161,0.000120940064015587,0.000547175486015559,0.151316576624378,-9.75733590783279e-05,0.000194038215874909,-5.89941993504215e-05,-0.000117571591062913,0.00150687104375201,0.000103166419920441,7.57248170858324e-05,3.2625015342562e-05,-2.77444189310418e-06,0.000766742363747685,8.16611469757046e-05,0.000117235872130881,-0.000102334146202665,8.5311667512243e-05,0.000272626557923763,-4.77151144535384e-05,4.54012928193168e-05,1.99440844705579e-05,3.29926974790077e-05,0.000300382322600124,-1.4071824770067e-05,-4.0936987542359e-05,-9.60938374650665e-05,0.000124939948326833,9.92560488196351e-06,4.41584861784101e-05,-5.29634481857667e-06,8.42597934544272e-05,4.84786488100105e-05,0.000129559321048804,1,1091,-2.10271699750827,-683.708355181796,8,1383.41671036359,1425.92247346031,"group-lasso","elementwise",0.319444103376543,8,"Model1"
1,10.3353497328377,1.343442002,0.0158421697523307,0.0629876242315116,-0.0190019955032994,-0.00121209872900356,0.0173589659890651,0.00787861302306769,-0.00235517885730573,0.0006599986911181,0.00325033348735977,-0.00108473576146213,0.00117958294052453,0.00340755923184954,0.000235769575171167,-0.000162565430314875,0.00134294537755921,-0.00033226724099386,0.000436338975848481,0.000182126233511197,5.02583571637654e-05,-8.38225127336597e-06,-0.000189237108172517,-0.000480963190750739,8.11581683852764e-05,-5.71655693851099e-05,0.000445357427903251,0.000115913991639868,-2.08072020289464e-05,0.000118474214951983,-8.50168966817498e-05,-0.000222959413561606,-1.79413399804452e-05,-5.71596118387733e-05,-4.17453190912614e-05,-0.000119925329362336,-0.000149523396568839,-0.000102677651914812,0.00014881255963455,-2.13480957582955e-05,-5.97481282059356e-05,4.32854225882453e-05,-1.88791774300356e-06,2.4900845990574e-06,-5.54114505554693e-06,9.39262915413899e-05,-5.27063056096176e-05,5.00029276920099e-05,-3.74468671479973e-05,-7.82735584282618e-06,-1.10268135382556e-05,-4.83949201124404e-05,-8.48562935725612e-05,1,1081,-0.47777108368831,-444.222674878712,7,902.445349757425,939.637892467057,"group-lasso","elementwise",0.268692913317378,7,"Model2"
2,10.3353497328377,1.343442002,-0.00625903477476229,0.0181953169574722,0.224594072120592,0.00697524764592161,0.0274436575954844,0.0456127189259934,0.0160923109409433,0.0520032316059126,0.000192061878507092,-0.000530577803201422,0.0295807423978596,-0.000439604063367276,0.00480209534384371,-0.000788350271984379,0.000221080883892766,0.01201557025698,-5.3652595772354e-05,0.00105836064990094,-0.000305409165677429,2.7233588214854e-05,0.00650316334847742,5.89073615851177e-05,-0.000136926903512654,-4.24967949451546e-05,6.86410482823052e-05,0.000898941632129138,-1.38612135598404e-05,-0.00032636932573601,-3.88152783330197e-05,-3.29276049601255e-05,0.000567847639177855,0.000114190265933268,-0.000124292258917095,8.43259216433112e-06,-2.87937288566666e-05,0.000410431071511568,-1.29700587421098e-05,-7.79882167041587e-05,1.8456997122151e-05,-2.82254868067781e-05,0.000288106607912638,4.03831516005782e-05,-8.0083187088877e-05,1.05296899257955e-05,2.82075136806107e-05,1.06140814562977e-05,5.69815334757951e-05,7.57319408370837e-05,2.14110927188567e-06,3.40659404697487e-06,9.59838091355253e-06,1,806,-0.952760697996356,-458.393126013625,11,938.78625202725,997.231676285243,"group-lasso","elementwise",0.272281511566885,11,"Model2"
3,10.3353497328377,1.343442002,-0.0323640722478605,-0.00968861424992004,0.00891682239737981,0.137135778098201,-0.022694805929242,0.00794971582285035,0.00307039596127946,0.00178701200231524,0.160464755014894,0.00559074224278026,-0.00479604102208027,-0.000785045337288218,0.000838137752705823,0.0495394750357646,0.00359928901760008,0.00297470155279474,-0.00062019141432908,0.000759923356289103,0.00686220969403594,0.000890441747607941,0.00346846949523604,-0.000100302367860262,-0.000871005284094395,-0.00837652145325412,0.000939084434842377,0.000125112199793233,-0.000217566283620224,0.000656699370321761,0.00240103405664036,0.000427047204269608,0.000133195816842943,3.73297129261226e-05,-6.66372287184414e-05,0.000366875135355763,0.000236100117855782,-9.72056787689632e-05,0.000145653875971737,0.000173314181380564,0.000210854846441388,0.000267992865987949,0.000158840331268481,0.000107530095666458,9.66648849585048e-05,0.000293519069422242,0.000232224187824775,-6.38374468127289e-05,-3.5271051112808e-06,-0.000115214998723968,0.000170139795357629,3.31598195902108e-05,0.000180780336769829,5,1500,-1.17697052922194,-640.392986692699,16,1312.7859733854,1397.79749957884,"group-lasso","elementwise",0.301347832349169,16,"Model2"
4,10.3353497328377,1.343442002,-0.0172875818001448,-0.00138126222984147,-0.00231689678048139,0.0081705775782336,0.13749122419577,0.00797471807448322,0.0050751563180381,-0.000553174964195708,-0.000439136093979861,0.0742829625035372,-0.00252930115097984,0.0156661900151597,0.000992049574120485,0.000504635705557019,0.0673637086539185,-0.000918067514210918,-0.0045994799246777,4.76142192896171e-05,9.26977216689992e-05,0.0468505597706451,0.00108017357111565,0.00068791185723028,0.00115527080278474,-4.66521451144142e-05,0.0387115321214254,0.000242918460913302,0.000105239265208055,0.000617814298469421,5.50304774672918e-05,0.000378278959724332,0.000242747599412811,0.000362571443598599,0.000239962172779597,0.000391788074954217,-0.000305064313601892,-6.26279328711831e-05,0.000275463810566988,0.000986177858333556,-0.000107522082087904,0.000634184136793892,-2.89954646392148e-05,-0.000810804147859929,-0.000175068554466924,0.000145720693084665,-2.77182010713586e-05,-8.18764412573552e-05,0.000106286362690445,-9.31348281061886e-05,-0.000164083098058112,0.000117848753771175,-6.92655644614544e-05,5,1500,-1.16468869158841,-553.750012175171,12,1131.50002435034,1195.25866899543,"group-lasso","elementwise",0.2862938931853,12,"Model2"
5,10.3353497328377,1.343442002,-0.0107520236598941,0.0101063860364085,0.000153997366062722,0.00255418327277669,0.0383661365474116,0.232236501072228,0.00216020491626704,6.42476253953065e-05,-4.30369648558964e-05,0.00501957912705467,0.201094909903823,0.000263875702543789,1.27304877475091e-05,0.000287785058178942,0.00117439677704308,0.1584638146998,0.000402839340941529,-7.41726333892792e-05,-0.000126719897528597,0.000182489160439036,0.0126689336844664,0.000175964360778444,6.76727231313841e-05,-0.000398154732375474,5.46138822518724e-05,-0.000215570104686902,0.000145374024844703,8.34307700586518e-05,-0.000155282364142204,8.12421980504828e-05,0.000179822232083442,-0.000495420777250344,0.000122910394921444,-2.48619026837905e-05,1.49681727831362e-05,0.000383693324448705,8.23895215918429e-05,-5.31311944566097e-05,6.19409895017602e-05,0.000142622115710547,-4.3128447816676e-05,-6.57868805100923e-05,0.000139170494652133,6.54857672371985e-05,0.000173601943381456,0.000192716818611512,0.000107733382246282,-1.10907133991941e-05,-0.000111062096062757,7.23007060868106e-06,3.82768872253442e-05,5,1500,-1.46269202269435,-488.568623727237,9,995.137247454473,1042.95623093829,"group-lasso","elementwise",0.29456282832326,9,"Model2"
