"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.3353497328377,1.7351220676,0.0180449994401898,0.0210369803013908,0.00357307849337151,0.0265891433847949,-0.00852063397752467,0.0170335621615296,-8.07019160982638e-05,0.00023652765394213,0.0001957608192872,-0.0011602042921068,-0.000277376973443884,-0.00145253284578291,0.00023924103413895,-0.000244118281743877,-5.80312318084869e-05,0.000110595072931661,1.99153383482308e-05,8.72600049644377e-05,-3.20497617231676e-05,0.000152925533623626,0.000101818891532556,-0.000506226733395494,9.60211571721058e-05,-3.06546231898056e-05,0.000171219736590924,-7.17478311738814e-05,0.00016712366030709,1.15452414872765e-05,-6.94987255780283e-06,-9.65350618943947e-06,-3.41727124537139e-05,7.23150779324531e-05,5.91230848016479e-06,-9.09627467668391e-05,-0.000139051829820732,-0.000199613645463195,2.33219561052114e-05,-0.000153742610318629,5.17007631342477e-05,-8.17960430322995e-05,9.00281778246866e-05,-5.94793653498295e-05,6.80431187298458e-05,-5.56522023964282e-05,-7.36567576329351e-05,1.89105728586591e-05,-0.000124521549686996,5.27024767221389e-05,9.65115780202294e-05,4.17771005157402e-05,-0.000117039242518452,1,639,-0.451140212421634,-440.675351971002,5,891.350703942004,917.916805877455,"group-mcp","elementwise",0.268140281735182,5,"Model1"
2,10.3353497328377,1.7351220676,-0.0394947674127184,0.000149041448627506,0.0675345010205565,-0.0215905512648853,-0.0219090308089576,0.00444909545720056,-0.000369364192002227,0.0808938064750294,0.0150468276408469,-0.000876194307867014,0.00730231001124781,2.46112048056569e-05,0.0295439657031691,-0.00212524988972558,0.00054877468101925,0.000986022244296925,-3.89692289423679e-05,0.000433778895632644,-5.34614906089047e-05,-0.000328915784581446,0.000509500856621156,9.45462908241735e-05,0.000219063035866662,0.000104162468290223,0.000228095712922176,2.98667640238246e-05,0.000111768217180829,-7.37625373274621e-05,0.000142755216368913,-8.50150109246317e-05,-0.00019797211700179,-1.6023833853547e-05,0.000103128565950757,0.000127429355775489,5.6460043951061e-06,7.69894940906164e-05,1.83641800284731e-05,0.000224220478499858,-2.92985952831535e-05,1.44356895823869e-05,3.31292091888721e-05,8.22480903521418e-05,-0.00012257726921028,-6.88213404831505e-05,4.68694450484192e-05,-4.37724999978192e-05,3.53967400138616e-05,-3.03726251346824e-05,-7.34061417460033e-06,-1.43567977860911e-05,-4.63602372489736e-05,1,883,-1.032394385236,-729.264849752288,9,1476.52969950458,1524.34868298839,"group-mcp","elementwise",0.306779829906789,9,"Model1"
3,10.3353497328377,1.7351220676,-0.034602782304404,0.00338928436582065,0.0110678267348103,0.207353215871402,-4.02044008424972e-05,0.0200320738283234,-0.0102419221595519,0.0104324883842565,0.0930385777766948,7.30080094050246e-05,-0.0307330884862291,-0.00200035645276479,0.00521118265188916,0.0200639473366912,-0.000137645244485073,0.00412319883050394,0.000635165962402916,0.000368485686823833,0.0105305146681172,-4.13445627932258e-05,-3.83577792838984e-05,-0.000355737789370622,-0.000655586143669584,0.000454731872927819,-3.25385794865854e-05,3.8948762756516e-06,0.000318925993474135,0.000167978453538645,0.00109579463484081,4.32803631794564e-05,-1.11867398626949e-05,0.000170102754206141,0.000182511366779178,-0.000801142362245942,2.47532491355684e-05,7.90712439996282e-05,-0.000258796387400544,7.91763375574635e-06,6.7111939616107e-05,-4.1254647880155e-05,8.74281443798943e-06,-2.01399504634032e-05,4.05610272690929e-05,9.12326559751552e-05,3.62705123651473e-05,-7.16739422269257e-05,7.03671041309085e-05,1.56651486068303e-05,7.25095357759922e-05,6.55236820791981e-05,0.000128096194449155,1,870,-1.29841190110589,-670.223878678173,13,1366.44775735635,1435.51962238852,"group-mcp","elementwise",0.304857336478364,13,"Model1"
4,10.3353497328377,1.7351220676,-0.0201062185059877,-0.00667698513404003,0.0366119157560713,-0.00640501576914885,0.104600129557474,0.00200141278790804,0.010813654128397,0.0011228749971017,0.000193647154188322,0.115214718399987,-0.000682269760088478,0.000168696849178261,-0.000471232898121146,-4.86992301399216e-05,0.0832713712033035,7.9885905187196e-05,-0.000148622670599851,-4.47761744615868e-05,-1.49704299925279e-05,0.0308693244331801,-3.96481213098114e-05,4.41041826094824e-05,-0.000177213792973155,-0.000137932795745638,0.0026296221168854,0.000145735183550106,1.39637810644324e-05,-4.74318520821158e-05,-3.15775177781637e-05,-0.00425481478552669,9.05429875164325e-05,-1.17722028499405e-05,1.4928206168627e-05,6.62852313954926e-05,-6.46113112524992e-06,1.17399970551726e-05,1.40983101363597e-05,-7.85767989180069e-05,-3.71140386049375e-05,-4.73147066906665e-05,6.86726339689396e-06,-0.000129966385189746,-7.91735952030295e-05,2.80400849615012e-05,0.000228670462303197,-2.92172382870113e-05,4.2640292553039e-05,-0.00010080786339309,-3.06873802610114e-05,9.1763963697636e-05,4.22035457594237e-05,1,1404,-1.28758188667867,-566.154365276559,11,1154.30873055312,1212.75415481111,"group-mcp","elementwise",0.288281376065615,11,"Model1"
5,10.3353497328377,1.7351220676,-0.0350008637730065,0.00403398356133771,0.0253372277320153,0.0268248495531456,0.00302434797016477,0.220981096383675,0.0194689166794065,0.00127367081612176,-0.0047526842807606,-0.000107726421672371,0.191908264266422,0.00482212201955716,0.000241029459134469,-0.00306597528328774,0.000440254703366434,0.0183504623417091,-0.000170086787861232,0.00014485101180369,0.000846456509945571,2.95791170866552e-05,0.00976436420608047,0.000327478770607101,-2.43053674423891e-06,0.000319084709254825,0.000401125565515231,0.00904632119225553,4.35975156724282e-05,1.43525190471252e-06,1.66044882344057e-05,5.78693315766019e-05,0.00256032107014112,4.18986464607275e-05,-3.79522076235613e-05,-5.10722797459273e-05,-5.93606620639426e-05,-0.000184679196227361,-4.68991036271943e-05,1.97981027025706e-05,-0.000140866977256691,-0.000137711501417551,-2.96014797308331e-05,-1.29817365848627e-05,-8.65853766170716e-05,-4.62280966049984e-05,-7.82858402570465e-05,-6.35202714638446e-05,-1.27307310949034e-05,-6.19672528660282e-05,2.79597001880449e-05,-5.53847179462038e-06,1.89383784818133e-05,1,1457,-1.5707672357341,-685.533968023885,14,1399.06793604777,1473.45302146703,"group-mcp","elementwise",0.320569623786414,14,"Model1"
1,10.3353497328377,1.343442002,0.0174558567023116,0.0925959118953848,0.00751452402787427,0.00238663445143544,0.0117908762148785,0.00110165753795946,-0.0414761105238359,0.000310494927891997,0.00190802998715892,0.000717511652270661,0.000403510971116009,0.0137819332562187,-0.00019578147623995,-0.000613078971949803,8.89913794023034e-07,-5.24107214335942e-05,0.00648223905289447,2.25602262254943e-05,0.000570336131929791,1.30064897398597e-05,-9.91304956542835e-06,0.00184860748018247,-2.82936734635341e-05,5.0574595350432e-05,-0.000179195529509551,0.000121293441661331,-0.000442547101918481,-8.76469720831715e-05,0.00012043758097855,5.05280452402724e-05,-6.69682793496312e-05,2.62408943717063e-05,5.19203246098055e-05,-8.90488409293371e-05,-1.32982234169845e-05,1.59923552133466e-05,-6.59643358895112e-05,-2.82333802471443e-05,1.01644690229768e-05,-8.401973268866e-05,-3.13387650558153e-05,0.000121011401514563,3.99282996597975e-05,-2.26111459984375e-05,-6.05897632229531e-05,-1.30003404768263e-05,3.47403691554895e-05,2.46412321254229e-05,-6.42695763668092e-05,-1.12434902774794e-05,4.57585334864735e-05,1,1086,-0.565829868135477,-439.325939366465,7,892.65187873293,929.844421442562,"group-mcp","elementwise",0.268550018994862,7,"Model2"
2,10.3353497328377,1.343442002,0.10929854046741,0,0.218146792895761,0,0,0,0,0.289743829262241,0,0,0,0,0.188850907538336,0,0,0,0,-0.0145111096450288,0,0,0,0,0.200914360218202,0,0,0,0,0.198957855462758,0,0,0,0,0.13659906637458,0,0,0,0,0.165014746619301,0,0,0,0,0.0888433127019643,0,0,0,0,0.0931275059099945,0,0,0,1,375,-4.72550553329696,-862.267997366134,10,1744.53599473227,1797.66819860317,"group-mcp","elementwise",0.350997048882057,10,"Model2"
3,10.3353497328377,1.343442002,-0.0355663712931962,-0.0177426213737225,0.00656518509222339,0.132453860927727,0.0447858402896341,0.0163762126871747,-0.000158618817760805,-0.000838667894700782,0.0659453316197121,-0.00177645271829257,0.00809416073222748,-2.18865714592507e-05,0.00018273683145262,0.0635772459109057,0.00606087371436564,-0.000508591545336332,-3.47602702345424e-05,-9.38025172024266e-05,0.00171664945947469,-0.00359381135270474,0.000218687204597184,2.94191132179549e-05,-2.52451699491773e-05,0.000559141054185544,0.00105553033464811,7.81540990776982e-05,1.38889973357724e-05,4.37943460420732e-05,1.97310923156597e-05,0.000105615275903518,0.000119275802959867,3.77562653382594e-05,0.000103057819992796,0.000264400293416332,3.02905555648933e-05,8.92445010024264e-05,1.74523354087955e-06,-2.84257704634812e-05,0.00014962762763566,-0.000135917588963637,3.44078880282119e-05,-3.4905889255717e-06,-0.00017924293149201,2.79098481042968e-05,-5.04058756858661e-05,-2.59561210004264e-05,7.55907366094079e-06,5.48683884811401e-05,-6.83841050867837e-06,9.36508656262454e-06,-3.79776137208932e-05,1,2446,-1.02782568417868,-665.755333379368,10,1351.51066675874,1404.64287062964,"group-mcp","elementwise",0.303958771942479,10,"Model2"
4,10.3353497328377,1.343442002,0.125741031018077,0,0,0,0.191491308591397,0,0,0,0,0.331719863970357,0,0,0,0,0.293678391548955,0,0,0,0,0.274416252685163,0,0,0,0,0.244303206619121,0,0,0,0,-0.125156503595486,0,0,0,0,0.181400158223714,0,0,0,0,0.151445543040119,0,0,0,0,0.114979199974606,0,0,0,0,0.0440430160221748,0,1,375,-5.35798815287892,-1115.69555654046,10,2251.39111308093,2304.52331695183,"group-mcp","elementwise",0.400938568044149,10,"Model2"
5,10.3353497328377,1.343442002,-0.0641162467106942,0.0125283074879189,0.0108763675679323,0.0284803549387557,0.0155925010547361,0.0681166683201267,-0.00576401712273883,0.00462757822931821,0.00270751333204241,0.0133685709831475,0.108545032561045,0.00311990188503059,0.00131605148343681,0.00114346166016544,0.00402418412866634,0.0662830739059158,0.000654621714763405,-2.901217206276e-05,0.000100311098672347,0.000587565433319901,0.00977659907169996,0.000173028940293448,-5.55318024520359e-05,0.000118319337587421,8.01529716431792e-05,0.00365768049104318,0.000194045613056823,8.49528970749966e-06,0.000145907351260132,-2.26524635166829e-05,-8.51692787945622e-05,6.21522266100313e-05,0.000154390228232983,3.86544900019817e-05,5.52247337476706e-06,0.00147308085939701,7.39251858410873e-05,0.000132181612974155,-3.21042048025028e-05,1.78059291753891e-06,-0.000227534906936315,8.39430744240317e-05,5.7812619114153e-05,7.46490703526731e-05,2.09556437598495e-05,6.67698908326801e-05,5.05476579240132e-05,-3.23966785528934e-05,1.36240846198654e-05,5.64310241440672e-06,0.000110554780216978,1,2169,-1.30971877896935,-1016.43676438832,15,2062.87352877664,2142.57183458299,"group-mcp","elementwise",0.354755491118109,15,"Model2"
