"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.8458559525707,0.7823171199,0.0194944813621985,0.046364329126085,0.00101975476185464,0.0105982963905959,0.00480612356231035,0.027589762966615,0.00123744930722873,0.000661105999397655,0.00406137763471412,0.0018338121671859,0.000222173837239679,0.0027550862847919,0.000755934210545233,0.000943069278995999,-0.000510435028245115,0.000200671363541241,0.00145743619753616,0.00034720837849601,-0.000342773159996539,8.07122541634707e-05,-5.6837108489599e-05,7.4189158963938e-06,-7.43257628380446e-05,0.000110710861739446,3.18349696207411e-05,0.000142952349291192,8.50314379877941e-05,-0.000163450524474947,0.000268162564210299,-5.25293613419997e-05,3.02503389721683e-06,8.92509092650134e-05,7.54868911223036e-05,-2.55226608416682e-05,-9.44805087401848e-06,-4.07880427894607e-06,8.80570891007447e-05,-3.59199790808985e-05,0.000149943943403721,7.52534305644278e-05,5.74405635085297e-06,-2.41570236271845e-06,-3.70224801182462e-05,-7.28919358536179e-05,6.88195972734163e-05,6.64666716714602e-06,-1.64291624668616e-06,4.42294257140675e-05,2.53175326340359e-05,2.2163495642333e-05,1.02887176168452e-05,1,1238,-0.374009279428908,-424.653259378269,23,895.306518756537,1017.51058765961,"group-scad","elementwise",0.264627508734459,23,"Model1",-2419.67299156885,105,5049.3459831377,5607.30410045921,0.279036110780722,105,-5.20063530000498,0.177077167699415,0.356547744674078,0.257306864766075
2,10.8458559525707,0.7823171199,0.0595131800317124,0,0.241545058533846,0,0,0,0,0.299354419765054,0,0,0,0,0.180517216216544,0,0,0,0,-0.0877961034121429,0,0,0,0,0.243508910344381,0,0,0,0,0.108525712590401,0,0,0,0,0.0989035921390947,0,0,0,0,0.0303060148123083,0,0,0,0,-0.0228543932009076,0,0,0,0,0.0274727961291658,0,0,0,1,351,-2.17573737114013,-567.949570193601,10,1155.8991403872,1209.03134425811,"group-scad","elementwise",0.288462968964815,10,"Model1",-2419.67299156885,105,5049.3459831377,5607.30410045921,0.279036110780722,105,-5.20063530000498,0.177077167699415,0.356547744674078,0.257306864766075
3,10.8458559525707,0.7823171199,-0.0115385193393897,0.00166675788478241,0.0120333235957842,0.273202382491499,0.0163415944837122,0.0363712630040355,0.00105154650479169,0.00195253866998468,0.174793765771353,0.00117506535165121,0.0206724836992249,0.00104316275658644,0.00042940851745355,-0.0054588564103618,-8.37007778545862e-05,0.00330700191243752,3.97755040286874e-07,-0.00029958842313316,0.00476153041840682,5.00342675973118e-05,-1.21968187201401e-05,9.28047319718246e-05,4.65116607133727e-05,0.0107409236225287,6.91941507105884e-05,0.000128161439908407,5.58798314229902e-05,0.000123168814662354,0.000968588577887928,6.40329971613636e-05,0.00017939174775205,-1.54340459100827e-05,6.11848094550724e-05,8.70656144432171e-05,-2.51689225368309e-06,7.24255538735287e-05,-8.10032658801185e-05,-3.56388898535781e-05,9.56945216383259e-05,9.94195345822924e-05,-4.43888751583148e-05,3.40577887801634e-05,1.98647058979407e-05,8.36043517251235e-05,7.45051102323421e-06,5.78988544757725e-05,2.98517887981981e-05,3.42690721986292e-05,8.4960030804564e-05,-5.07909545180142e-05,-6.80644447038888e-05,1,939,-0.834976035753652,-497.200661192066,21,1036.40132238413,1147.97895051303,"group-scad","elementwise",0.282114011302212,21,"Model1",-2419.67299156885,105,5049.3459831377,5607.30410045921,0.279036110780722,105,-5.20063530000498,0.177077167699415,0.356547744674078,0.257306864766075
4,10.8458559525707,0.7823171199,-0.01456890743202,-0.00243818541786902,0.0156384541776954,0.00251732348039406,0.180223962700487,0.00499878201808031,0.00104588121447715,0.0012979414615382,0.000892494163068535,0.146852601427795,0.00731416221228238,0.0012612423460682,-0.000182976199209506,0.00038308456593818,0.0485688710338831,0.00134460307528042,0.000512292660516253,0.000396446793677083,2.25994664448086e-05,0.0119988804832869,0.000111596275867621,0.00032954220474187,-1.9695847913807e-05,0.000120745733008646,0.00119674048239403,6.26973087222638e-05,-7.06222252581218e-05,7.39465080808001e-05,5.51514601351392e-05,0.000321766518842404,9.94160014062313e-05,6.45683729937989e-05,2.13618873889724e-05,0.000152308276182739,-0.000404638343289102,4.87874717322127e-05,-4.69575036795793e-05,1.05181915315236e-05,3.36055191908367e-06,7.55777015278027e-05,5.13099074037779e-05,2.45410116210754e-05,-2.30559336919867e-05,6.35544119800639e-05,-6.13526759722411e-05,4.93803816457077e-05,-2.25703140088197e-05,1.27049612944966e-05,1.79262554604594e-05,1.99670576262439e-05,4.83437773060475e-06,1,2623,-0.739186661258949,-514.113912302417,25,1078.22782460483,1211.05833428209,"group-scad","elementwise",0.27910885267912,25,"Model1",-2419.67299156885,105,5049.3459831377,5607.30410045921,0.279036110780722,105,-5.20063530000498,0.177077167699415,0.356547744674078,0.257306864766075
5,10.8458559525707,0.7823171199,0.0025374938129256,0.0530555947879991,-0.000325189487564192,0.0369672809613116,-4.97034170335922e-05,0.232915247012992,0.00118052290958507,0.0215038190948628,0.00240549990269053,0.000249584475835787,0.2290008472665,0.000580380485216174,0.00288396261102903,-0.000966839599944706,0.000140003223205018,0.160605288058195,9.5714805164143e-06,-0.000426760812418286,0.00141595753051917,3.20243174558999e-05,0.0514264853383957,0.000172267509828237,0.000285812253369991,0.00024958483668692,0.000151287967811671,0.000639789343946573,-5.25187369504655e-06,0.00014701199523651,6.31079991598489e-05,-0.000150294448272481,0.00105286011585919,3.50466488900069e-05,6.27263861847723e-06,7.17530464980174e-05,1.64378716060841e-06,-4.95541455206084e-05,-4.82215773314862e-05,-3.50899617016908e-05,3.63616384123193e-05,-6.81625275521727e-06,3.60320458033954e-05,7.83714407163137e-06,-9.04454382656702e-05,8.24502741116178e-05,-3.87206875130271e-06,-1.6005862310491e-05,-6.63509268600063e-05,-5.06928780946294e-05,-3.99329999149531e-05,2.84542647931437e-05,0.000113740920482155,1,1185,-1.07672595242333,-411.921599025029,26,875.843198050057,1013.98692811441,"group-scad","elementwise",0.280867212223004,26,"Model1",-2419.67299156885,105,5049.3459831377,5607.30410045921,0.279036110780722,105,-5.20063530000498,0.177077167699415,0.356547744674078,0.257306864766075
1,10.8458559525707,0.0099688714,0.0460906179327405,0.00531185259667683,-0.00391766447135141,0.00451013840517806,0.137778373388027,0.00285168816075823,0.014975328396197,0.0139602621557563,0.0228664315377999,-0.0314950211684379,-0.040931625085078,0.049205025597771,0.0477220861331234,-0.064817865755233,0.0904831298261875,0.0143678008337068,0.0253268423983328,-0.0276041527932627,0.0895858799391115,0.000832252418355389,0.0170544492371336,-0.0164522197905489,0.0572410718153499,-0.068735702991793,0.018350450531043,-0.00724597612210287,0.0480528275186216,0.00961663117981434,-0.0676858747540507,3.18707899834156e-05,0.0130609332582006,0.0457060273532056,0.0248960849249324,-0.00980939870873529,-0.0434842099081317,0.0148121801016687,0.0248873782223908,0.085996163037922,-0.0494944649852269,-0.0326011288132565,-0.0292585904293737,-0.00403679761479416,-0.0208787936679505,0.000122684751024426,-0.0453761417778802,0.0449162083097253,-0.0564473639851609,0.00936680250100892,-7.26949694037943e-06,0.0658413817229143,0.0428191856669946,1,1113,-0.224919071071717,-318.701957476511,48,733.403914953022,988.438493533356,"group-scad","elementwise",0.247160045513638,48,"Model10",-1181.11046867169,222,2806.22093734337,3985.903813966,0.243421249795279,222,-0.835124669129184,0.169620936241608,0.33053336597351,0.236288888646603
2,10.8458559525707,0.0099688714,0.0294159798346407,0.0102451388498188,0.0831894317594193,0.105474043335286,0.0816937686191035,0.0677286496972063,0.124987491012863,0.0260551270301261,0.159290082146478,0.0535537565805118,0.00429342080409259,-0.00834473382509171,0.0248031459804764,-0.0560376132783281,0.0405310697659694,-0.0836358188465478,-0.00760499877832512,0.0352283472459641,0.0620609577080111,0.0112175388835037,0.192788404641519,0.0255995882106006,0.0412398628093178,-0.0693375749196185,0.00505546653959287,-0.0174913674555785,0.0178910115160004,0.000163730861780959,0.00134322464776765,-0.0735383403257922,0.0301206711091451,-0.0029119217175695,5.02901981474342e-05,0.00577237623542639,-0.0409819953672114,-0.0252379045726057,6.99360726278764e-05,-3.93063483931227e-06,-0.0627934252780876,0.0131772565605099,-6.06405490889528e-05,0.000118600296780132,-5.44137213025187e-06,0.00446618020454371,-0.0352797664018672,-1.36152583618443e-05,-0.000115264232491165,3.25642568347939e-05,0.0478645143770506,0.000101782588217223,-2.04969861268853e-05,1,1498,-0.170082070142493,-242.098837916097,42,568.197675832194,791.352932089987,"group-scad","elementwise",0.239276950267393,42,"Model10",-1181.11046867169,222,2806.22093734337,3985.903813966,0.243421249795279,222,-0.835124669129184,0.169620936241608,0.33053336597351,0.236288888646603
3,10.8458559525707,0.0099688714,0.028747882577181,0.153549773305131,-0.0162144730046489,0.0552939682169247,-0.0449393848523841,0.0384491754212032,0.139598393026294,0.110129353098205,0.0683293236382922,-0.0637369508783141,-0.00196295362839892,0.0606704133895056,0.0763726903404921,0.000712289676355629,0.0691990825218947,0.12504668849385,0.00371675176148042,-0.0430744950133575,0.130173646981892,0.0689762111435329,0.172249239507709,-0.0302429833680366,0.0265717240277227,-0.0612909859268142,0.0299843033757094,0.0127153355951785,0.0709524589212814,4.40547638166033e-05,-0.0111304178847411,-0.0421524148621983,-0.00571378062059241,0.0445536141439655,-5.64966050386611e-05,0.0028729233721335,-0.0261772956249383,-0.00662805251502307,-0.0202952071429417,-6.05020791801498e-05,-0.0122584329030524,-0.0252697399884187,0.0391321055178208,0.00530690796553895,-2.22428910422387e-05,0.0301194092879808,-0.0279707591318342,-0.000282589268049927,-0.0403905182267743,7.50264154341895e-05,-0.010186125179017,0.0292254441755685,0.00024113707799838,1,867,-0.148408621849312,-208.040963677842,45,506.081927355684,745.176844774748,"group-scad","elementwise",0.243199635952032,45,"Model10",-1181.11046867169,222,2806.22093734337,3985.903813966,0.243421249795279,222,-0.835124669129184,0.169620936241608,0.33053336597351,0.236288888646603
4,10.8458559525707,0.0099688714,0.038294183345077,0.0817727880977688,0.0506068111507518,0.0599851648320449,0.0888862704751319,-0.0218416200329728,7.64435096483099e-06,0.136437348580152,0.0580876792902236,0.139305089613278,0.0942534650754847,2.98528088317264e-05,0.00491053925858155,-0.0612798753882746,0.152908167222355,0.0494644107141326,-6.34627278695377e-05,0.0280055223146103,0.0130061455999661,0.0423829746787835,0.0037456503964351,-4.85207939907793e-05,0.0385646228710722,0.00107218681249899,0.00222769445877998,-0.0537015214905036,2.98490542678197e-05,0.00758449695039773,0.000862237093025463,-0.0252161742765755,0.0417008994648216,2.92712387632524e-05,-0.00911329013145387,0.0031777030674637,-0.00530759577361727,-4.61032671134632e-05,3.77198564446237e-05,0.0280509695397263,-0.0651878508176464,0.00244994736598001,0.00769291878461701,5.97559217897389e-05,-0.0392408791923906,0.0446512382088251,-0.0293277059907364,0.0057633898258098,2.75566505040635e-05,0.0370436952348616,0.0294538044026594,-0.0525870254448067,6.80213384990238e-05,1,1065,-0.189381604170722,-270.537883359704,39,619.075766719408,826.29136181593,"group-scad","elementwise",0.247072473006719,39,"Model10",-1181.11046867169,222,2806.22093734337,3985.903813966,0.243421249795279,222,-0.835124669129184,0.169620936241608,0.33053336597351,0.236288888646603
5,10.8458559525707,0.0099688714,0.0296898688111328,0.0586161860843455,0.0573198733985798,0.0137963268960801,0.0220982197608063,-0.00378794999816677,0.184093672821871,0.129060013015541,0.0503715368547182,0.0702647505042674,0.00558440078716857,0.0502234881979914,0.0972983495883969,-0.0458102723316304,0.182432952382238,0.0324457268112757,0.0610894352405892,0.0560176912117101,0.180623835331616,0.15393029586339,-0.0548183276372161,-0.0244789689776106,0.0611254955184495,-0.0307683385569451,0.0445191906892403,0.0871369154793207,0.034316248799063,0.0145966438985287,-0.00204519255068933,-0.0481457177689139,-0.0251284346000373,0.0639981214273495,0.0200442678116937,0.0073999268286509,-0.00114318014577923,-0.00855157685217913,-0.00398887772131544,0.052251317874494,-0.0806889042517703,-0.00113605526156394,0.0455726166552612,0.000584039729837829,0.00488398280434271,0.00174299176894586,-0.000298704788250994,0.0361414908572612,0.00012693662150766,0.00773635515271337,1.39024665792628e-05,-1.25968698973024e-05,0.0225196423356571,1,2399,-0.102333301894941,-137.857193280934,48,371.714386561867,626.748965142202,"group-scad","elementwise",0.24039714423661,48,"Model10",-1181.11046867169,222,2806.22093734337,3985.903813966,0.243421249795279,222,-0.835124669129184,0.169620936241608,0.33053336597351,0.236288888646603
