"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.7013581098628,1.7750606229,-8.75911194617787e-05,0.070270555953863,0.0102661896109905,0.00380084382166759,-0.00220034577372204,-0.00743855935362716,0.0108776831926418,0.00138246533950194,-0.00368277303844199,0.0032723382575516,-0.00374447301853999,-0.00328551367312888,-0.000193155056699765,-0.00133052987933886,0.000900878589965155,-0.000235543238188014,0.000309904070696902,4.53517384107816e-05,1.26318232303564e-05,-8.5753826884676e-05,0.000202811396109038,0.000207698982200128,-0.000184083896347945,-0.000187905119250129,9.19430232026791e-05,3.93005255812291e-05,-4.80338003870421e-05,8.29084908981431e-05,-4.98063350748328e-05,-6.9285733232236e-06,0.000246381040839544,7.05728075808134e-05,-4.19876473472966e-06,-0.000171792621613695,-0.000126332854410651,0.000131558637276598,-8.66366296800112e-05,-7.75101201362573e-06,-6.41433802966263e-05,-0.000141689471250192,4.05822784284292e-05,-7.0803254142403e-05,4.09846575107903e-05,0.000109024775988482,-5.35278976541993e-05,-0.000117186299680717,-4.44312245317126e-05,7.5916858230091e-06,-7.3848421179383e-05,-1.39441202885891e-08,5.54403046225372e-05,1,766,-0.590551892817717,-555.928986979223,10,1131.85797395845,1184.99017782935,"group-lasso","own-other",0.282800427814142,10,"Model1"
2,10.7013581098628,1.7750606229,-0.0159861863037951,0.000548464596884403,0.0817488352266935,0.000740400344250449,-0.00477707898155402,-0.000273459875156526,0.00124654877764831,0.000765924133343469,0.00141472290423072,0.0016746867135582,-0.000814476931184481,0.000745629619002395,0.000800531651028192,0.000158541216144407,0.000276524251066217,0.000173365799954766,3.34504940159942e-05,-0.000732671355103236,0.000127584411324975,4.47201590787222e-05,0.000359395750867143,0.000200954372798226,-0.000279694160204756,-2.63505141439967e-05,4.95980303729683e-06,-9.41963871226577e-05,1.81966396404746e-05,-7.08479476453747e-05,-3.40202551852088e-05,5.16283080297803e-05,1.4287679310979e-05,9.04848718416953e-05,-7.88353018061635e-05,-1.34010405876266e-06,-5.31237608212246e-05,0.000165125440390942,-1.63204924694213e-05,1.86206739601502e-05,-0.000106027415741293,2.06372774387993e-05,0.00010176741706464,-1.65589975961316e-05,8.6737548811336e-05,0.000141386120610275,9.29259007776412e-05,-1.93157578348414e-06,-7.95127041200239e-05,-4.27063125014341e-05,1.32373304419539e-05,3.37733907016132e-05,3.64047456187899e-05,1,711,-0.547089768604326,-549.500034280452,2,1103.0000685609,1113.62650933509,"group-lasso","own-other",0.280415921331755,2,"Model1"
3,10.7013581098628,1.7750606229,-0.107313988897401,-0.015340952206155,-0.0201975567866809,0.172703452919316,-0.0328791507901798,-0.0683652110931747,-0.0151211663508037,-0.0182813406232604,0.183919595835011,-0.0318841274378375,-0.0635659453937579,-0.017363440955494,-0.018733354609911,0.197214375003909,-0.0270975049041074,-0.0551291772236228,-0.0192765906412875,-0.0209237511287037,-0.0555176562967383,-0.027792392320711,-0.0509869654845918,-0.0179329383612444,-0.0180766094653463,0.0908503507141376,-0.0244009151426475,-0.044601739229252,-0.015330423577811,-0.0162385864992913,0.0776176093269011,-0.0213178651665556,-0.0370219601456624,-0.0135622144467428,-0.0138845857470333,0.0627752683108757,-0.0176457846575937,-0.0303125687837954,-0.0123674313574668,-0.0118191047596179,0.0398867926484829,-0.0147157088971887,-0.0249398403044485,-0.0102992971020797,-0.0101269779782476,0.0317947236666068,-0.0124796693392789,-0.0215707893488067,-0.00948721992958002,-0.00875038426716279,0.0162652089954103,-0.0114229134995925,-0.0200971734849273,4,113,-6.96685312373756,-1649.92430263916,50,3399.84860527832,3665.50962463283,"group-lasso","own-other",0.388561516531325,50,"Model1"
4,10.7013581098628,1.7750606229,-0.0233965969966693,0.0260587758332723,0.00815752898168654,0.0104320702097252,0.0735310399320592,0.0234818023285913,-0.00721010001231723,0.00675223879445444,2.01283443688709e-06,0.0554825131098436,-0.00352046169931118,0.00250339843537266,0.00290414949821518,0.0015406402556793,0.00263675518822308,0.00249576055387175,0.00146709683308212,0.00101413009132756,0.00102645030913254,0.00193809273285025,0.00243526678085022,0.000350891182066007,-7.3471732974182e-05,-0.000191756286812364,0.000540609615201474,-2.85530229503519e-05,5.29095871556049e-05,-0.000368678814428362,0.000162998329831067,-0.000453371743205689,0.000237613444743221,4.19170010943157e-05,4.62089049157563e-05,-4.22124646927039e-05,-4.33755363720463e-05,-2.29095770461851e-05,2.72368184301344e-06,-4.6440858637642e-05,0.000133347986960348,-9.26459266710737e-05,-0.000120264025398038,-1.47493905390539e-06,0.000122322429513415,0.000135344357555557,-0.000138973269617134,-2.97414305882502e-05,-5.96250288068929e-05,2.68630935132718e-05,-1.49838765994033e-05,-5.04035060524694e-05,0.000105336933502065,1,723,-0.914535991343034,-671.567751481014,14,1371.13550296203,1445.52058838129,"group-lasso","own-other",0.296843689620825,14,"Model1"
5,10.7013581098628,1.7750606229,-0.0915872982113118,0.0333033956587927,0.00794971491291602,0.0222765961024362,0.0587208510343551,0.274189796557771,0.0124469635084306,0.00954463249268973,0.0282468279607914,0.0239552991093079,0.055057627406522,0.0042671696226856,0.00485560828145489,0.00183761279198582,0.00500802357027731,0.0197502974209046,0.000925941958940905,0.000326433175048668,0.0011888782535812,0.00117793871055915,0.000882198466853052,0.000186260879410097,0.000619044306215366,0.000143521928173131,0.000446254122581549,0.000840850831108376,-2.18049602322177e-05,0.000201599962144817,0.000210737081979869,0.00023455619535864,0.000458453056684661,6.78351912250294e-05,0.000144830810748492,9.18530682428198e-05,3.55601451595246e-05,0.000117462141465515,-2.71849133027222e-05,4.42449422732818e-05,5.31047531906963e-05,9.79842832058738e-05,-8.39771045505478e-05,-5.00870589071447e-06,2.4450237009837e-05,4.88007498076547e-05,-7.17867475720708e-06,7.88661331666636e-05,3.51175413853187e-05,3.5157987311606e-05,-1.43204471336459e-05,7.89907621450855e-05,2.88398747384681e-05,1,1406,-1.75396507589852,-1163.98960838157,14,2355.97921676315,2430.36430218241,"group-lasso","own-other",0.386375286016187,14,"Model1"
1,10.7013581098628,1.3743649749,-0.00222993194226125,0.0911152139574561,0.00238709437030748,-0.0079068022917753,0.0110645341580421,-0.0258904420929589,-0.000263182199114106,0.00207786738589991,-0.00171343743832799,0.00243900430892565,-0.00150075107111003,0.00205880849204248,0.00203311394665586,0.00244537169677445,-0.000372840038544848,0.00285328176479493,-7.61882718583787e-05,0.000233587687537692,0.00038915061530728,0.000120566637386608,0.000458213203065908,-0.000230167945802735,-2.94049356732127e-05,0.000180731600231262,0.000231407832785817,-7.96993347492564e-05,0.000180654611222849,0.000175360544847483,-0.000130552475681537,-0.000138829892575257,-8.13470608509124e-05,-3.49354886352484e-05,7.59386610558609e-05,-0.000131542595342843,4.38669088387386e-05,8.29625516444761e-05,1.96738815065486e-05,-7.73100394265686e-05,-4.06689149902526e-05,6.96597420662722e-05,3.66915915433479e-07,-2.89488699170008e-05,4.82863887707643e-05,0.000123632617894547,7.86026930255443e-05,1.36532741244571e-05,2.58607436275886e-05,-2.78055754463219e-05,-2.37260328416782e-05,-4.41831211166983e-06,5.06448087107828e-06,4,804,-0.589520647545759,-566.623388629811,11,1155.24677725962,1213.69220151761,"group-lasso","own-other",0.284439941859164,11,"Model2"
2,10.7013581098628,1.3743649749,-0.01073575933825,0.0116503236592259,0.0900552509147533,0.0108400692928047,-0.00120945712421497,0.0107497901132828,-0.000524787335101819,-0.0010929935239749,0.00379505711337577,0.00156146008760521,-0.00124556987032705,0.000557707797262118,0.001942313747401,0.00127024366575441,0.00016487230329006,0.000847533199242576,0.000253249255193287,0.000531011364493711,0.000668221423704936,-0.000124026045671222,0.000253065187494849,-8.16020802642364e-05,-7.3946988118687e-05,-0.000198627838981909,-0.000191627185840381,2.55200340051251e-05,0.000123557837866143,0.000502190515762729,0.000156274943671549,8.48401258605278e-05,0.000179814342454028,-1.15854576967838e-06,8.11486874819797e-05,5.22498446573192e-05,-0.000100187141653448,-0.000126364777201528,-0.000163787622598584,1.7199678896991e-05,-1.08992127210772e-05,-2.4892914324851e-05,0.000103882639164289,3.28443185716081e-05,-3.0841391594223e-05,6.79163703061243e-06,3.04724977966105e-05,8.00109542926832e-06,3.33020041429986e-05,-4.66226337788993e-05,-3.94390217430834e-06,2.35199031465712e-06,-0.000141557032464849,1,680,-0.525058468867957,-511.33716423501,5,1032.67432847002,1059.24043040547,"group-lasso","own-other",0.275463930803712,5,"Model2"
3,10.7013581098628,1.3743649749,-0.012124347307971,-0.00113907029973353,-0.00928545614526645,0.283956444218937,-0.0147505347400628,-0.0218613468823525,-0.00707934620852785,-0.0052497650954865,0.0976345684803898,-0.00290246449405833,0.00366922558208622,0.000622702326359621,-3.61489468104235e-05,-0.000463881528252377,-0.000800103532794195,0.00423301147891816,-0.000432417861399107,5.76062785311202e-05,-9.95964263447726e-05,0.000212035461387504,0.000738428590399663,0.000276351053491205,-8.40794704717068e-05,0.00039115935333675,-9.15625371768286e-05,0.000279379211141887,-3.99498070963068e-05,9.62458954105835e-06,-0.000163046292321147,4.37456520666299e-05,0.000413784714566679,-0.000199172029965162,-5.23620824892053e-05,-4.98821818700383e-05,0.000263968150512814,-3.55403121217609e-05,-3.39279654565833e-05,-1.45022745534962e-05,1.94950003025083e-06,-0.00011112011046129,-3.68958831858095e-05,3.81856091871069e-05,3.02490302543482e-05,7.52369214788809e-05,8.30575287697909e-07,4.1961306626558e-05,-7.01061548085307e-05,-2.38510685891524e-05,-0.000136808976384869,-2.85850915808646e-05,-4.74889722958891e-05,1,797,-1.07227167517977,-517.657700019354,10,1055.31540003871,1108.44760390961,"group-lasso","own-other",0.276950465697215,10,"Model2"
4,10.7013581098628,1.3743649749,-0.0221679759179074,0.0123335148861971,0.00373133965620535,0.0104447746279955,0.0657185648044918,0.0391130789086022,0.00249720165794265,0.00221193447727754,0.0148538281049143,0.0208645335902376,0.00789394643631241,0.00166958051895086,0.00124454425611032,-5.78920264065719e-05,0.00163912135621276,-0.000618322405232404,0.000208276188704153,-0.000114326169208395,0.00106735195710068,0.00113835505866787,3.28914288322526e-05,0.000184453168956823,0.000241868947355667,0.000212910045144798,0.000197704422724343,0.000204424350824447,0.000114614240952084,-8.95771037546986e-05,9.40470082585297e-05,6.75836532022169e-05,3.82181915526166e-05,2.2369832388992e-05,-0.000114155037882473,0.000116076161147116,6.10047176626736e-05,-3.75806319305242e-05,4.38118322932195e-05,-7.12073323911166e-05,4.02229672504882e-05,4.22022209979003e-05,-4.18704713549372e-05,3.77420003451815e-05,5.07328029286255e-05,2.12672318052048e-05,3.7342901269169e-06,-3.87864740296144e-05,3.89981906333095e-06,-6.67360942052699e-06,1.55102669413877e-05,-2.64885597508363e-05,6.89238211059894e-05,5,1500,-0.713027625067848,-678.758501972172,10,1377.51700394434,1430.64920781525,"group-lasso","own-other",0.297579630595238,10,"Model2"
5,10.7013581098628,1.3743649749,-0.0522260639605706,0.0174163698146951,0.0309480000245892,0.00789379075007981,0.0423679754414048,0.495382388185617,0.00648851766722659,0.0275687880904921,0.0054422868790614,0.00340673663427394,0.0210700082130961,-0.000868239847954957,-0.00109163648928446,0.0032128483344111,0.0015737806569673,0.0175401575907133,0.00119353679359269,0.00220129569752253,0.00333199680770892,-0.000301059882561364,0.00287621970084519,-0.000256715843863026,0.000372239368135674,0.000370118770745297,-3.81731827171221e-05,0.00102217352951306,1.0120016548029e-05,0.000121045236318586,-0.00017851155644062,0.000275097961450163,0.000270526488628725,-7.36371499529287e-05,-0.000227753481190741,0.000158406857762534,-1.30768625907439e-05,0.000208389695402072,0.000112965199386712,2.77727098137497e-05,-0.00018350763298783,-5.6195463638328e-05,0.000221707640122264,0.000109481886300527,3.09092400469107e-05,-3.88029541661352e-05,5.74501397358429e-05,-7.24369184956688e-05,6.93224432537017e-05,-1.0985408626401e-05,2.13560693829671e-05,-2.13223728299953e-05,2.65264672859203e-08,1,750,-1.49498681394382,-830.363213988518,15,1690.72642797704,1770.42473378339,"group-lasso","own-other",0.351014387769059,15,"Model2"
