"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.7013581098628,1.7750606229,0.00129745188974464,0.0682862930672165,0.0134437723250403,0.00603474409853971,-0.00266421640530755,-0.00679956826911974,0.0121270444360549,0.000661975878938353,-0.00171686626005594,0.00296054215765887,-0.00292415783463561,-0.00190226097332941,0.00191152054011586,0.000129877838240737,0.000406950238097394,0.00142670135084132,0.000142986360996112,-0.000291369211126658,-7.1898646471578e-05,-9.35902613786465e-05,0.000111989883501374,8.28470656044388e-05,-0.000223986930738709,1.28397361904861e-05,0.000243953783215453,-0.000232922215816001,0.000105853662170085,-2.20109746045195e-05,-0.000151709948459245,0.000127892036295034,8.66406636705551e-05,3.40800637332429e-05,1.79163725160701e-05,0.000216553353838045,0.000191177773190622,-2.87458826558473e-05,0.00011117700697302,1.72171735070519e-05,-2.97018219116146e-05,5.65461386134888e-05,0.000114813494358228,1.83668689339338e-05,3.90868978755524e-05,-9.414568133478e-07,-3.23501395362294e-05,-9.5557499788181e-05,9.31841511264426e-06,1.5891084972134e-05,4.81918166341064e-07,-1.65033590440714e-05,-7.46688452826435e-05,1,796,-0.582882025318449,-545.942010150011,8,1107.88402030002,1150.38978339674,"group-scad","own-other",0.281473720430669,8,"Model1"
2,10.7013581098628,1.7750606229,-0.0136791526802645,0.00216644575618909,0.0830785119340078,0.00754181155807858,0.00162172136235638,0.00388149510478033,0.00219141191580133,0.00151218222058091,0.00254210383595021,0.000791632776229758,-0.00229425366782536,0.000548293503179675,0.00119785693376581,0.000268443655878271,0.000826023895250815,0.000862847398276412,-0.000291228656217193,3.09363847983003e-05,0.000208230550759829,-7.42946206685421e-05,0.000229088878964267,-5.11807027645075e-05,-8.19590721839729e-05,-2.64277448194829e-05,4.39768659650344e-05,2.74819179949997e-05,-8.05025024934527e-05,-8.32397689107936e-05,0.00015723917747392,-1.93685754538794e-05,-8.4668999513117e-05,-5.11506593156275e-05,5.14307214668564e-05,3.97556223114146e-05,6.22717133110344e-05,-0.000118006597490172,5.37181461867076e-05,0.000190062149986988,-1.2514779844082e-05,-1.22976052789343e-05,-1.87856747617739e-05,-5.72893575102222e-05,3.97517111896622e-06,5.62733777544143e-05,5.22245466055423e-05,2.63747609224665e-05,-6.13133716663369e-05,7.19670624738394e-05,-2.58043370453636e-05,1.45291633233838e-06,6.03318469695492e-05,1,857,-0.550064679731467,-530.27867699653,7,1074.55735399306,1111.74989670269,"group-scad","own-other",0.277822223801989,7,"Model1"
3,10.7013581098628,1.7750606229,-0.107313988897401,-0.0153409522061549,-0.0201975567866809,0.172703452919316,-0.0328791507901798,-0.0683652110931746,-0.0151211663508036,-0.0182813406232604,0.183919595835011,-0.0318841274378375,-0.0635659453937579,-0.017363440955494,-0.018733354609911,0.197214375003909,-0.0270975049041074,-0.0551291772236228,-0.0192765906412875,-0.0209237511287037,-0.0555176562967382,-0.027792392320711,-0.0509869654845918,-0.0179329383612444,-0.0180766094653462,0.0908503507141375,-0.0244009151426476,-0.0446017392292519,-0.015330423577811,-0.0162385864992913,0.0776176093269011,-0.0213178651665556,-0.0370219601456623,-0.0135622144467428,-0.0138845857470333,0.0627752683108757,-0.0176457846575938,-0.0303125687837954,-0.0123674313574668,-0.0118191047596179,0.039886792648483,-0.0147157088971887,-0.0249398403044485,-0.0102992971020797,-0.0101269779782476,0.0317947236666068,-0.0124796693392789,-0.0215707893488067,-0.00948721992958001,-0.00875038426716279,0.0162652089954104,-0.0114229134995924,-0.0200971734849273,4,113,-6.96685312373756,-1649.92430263916,50,3399.84860527832,3665.50962463283,"group-scad","own-other",0.388561516531325,50,"Model1"
4,10.7013581098628,1.7750606229,-0.0252148524267967,0.0220643273602595,0.00413968399407403,0.0129285931822646,0.0710021247405474,0.0171321227505137,-0.000968301893543434,-0.000126715629530824,0.0068927998173227,0.0493411978490931,0.000638692447787751,0.00023627582470675,0.00246332731476473,0.000865103824620344,-9.94335682892468e-05,0.00413802152113632,-0.000645955649929361,-0.00011872912849804,0.000733035902622389,0.00036966441467955,0.000813752407133202,0.00033870035118263,1.6130683103218e-05,0.000267315840633818,-4.96412573996318e-05,0.000196413094758464,-0.000177161402874359,-0.00014652888921608,6.20861861311429e-05,0.000299603956069349,0.000114962203692533,0.000137039124149645,0.000298233190194517,-5.47034174244535e-05,-1.73232740089223e-06,8.37332348535877e-05,-9.76427803609763e-06,-4.40570007408811e-05,1.72214361490965e-05,9.58647464367333e-05,-6.30750698637619e-06,8.05917564458738e-05,3.16674696720705e-05,-9.51447787513044e-05,-8.81683438983417e-05,4.80905386582276e-06,4.26745380569267e-05,9.95292618630799e-05,2.30936170786736e-05,1.65178164471423e-05,-2.7122000668721e-06,1,872,-0.865711840941754,-692.709561933527,9,1403.41912386705,1451.23810735087,"group-scad","own-other",0.299206536840919,9,"Model1"
5,10.7013581098628,1.7750606229,-0.0866152815547476,0.0258895245481968,0.00268963091283145,0.0139571090123222,0.0738423078380985,0.27226921841621,0.0172858583452741,0.0111164067748158,0.0323060103286134,0.0142748000086768,0.0637493874180093,0.00114259659054194,0.00299795745742667,0.0030101810357185,0.00771311229443365,0.0328366415795767,0.00109052551788412,0.00162277081758089,0.00152974933512806,0.00212531757253061,0.00207896881470302,-3.00786510454029e-05,0.000272128075376161,0.000338484414854105,0.000390895601920125,0.000665410574418124,1.51040649575841e-05,0.000190172009499511,1.5674633408673e-05,9.71524713712455e-05,0.000170289821851963,-0.000180927186037527,2.78378414322539e-05,-8.71237870841191e-05,0.000133001669633171,0.000151071205264196,6.2460070150343e-05,9.2852359425306e-05,7.10944036229885e-05,2.93634248745139e-06,8.66944322320886e-05,0.000121515835696068,-3.09593547440461e-05,8.95573408012092e-05,5.71688829575563e-05,3.79269798459088e-05,7.31198223282287e-05,0.000126484709947077,0.000105589208753041,8.10811151277488e-06,-1.51664006225774e-05,1,1246,-1.79380058472626,-1083.70734819402,16,2199.41469638803,2284.42622258148,"group-scad","own-other",0.379232640578778,16,"Model1"
1,10.7013581098628,1.3743649749,-0.000464149320388227,0.0930939446213621,-0.000988911631213423,-0.00915710047442698,0.0116380484911874,-0.0188635544196425,0.00218133467135698,0.00131874493761403,0.00320005834336968,0.000876583012973733,0.000244827722223908,0.000339622480654502,0.00105440448769172,0.00117215409455738,0.00177238538027702,0.000861451582187938,0.000635662641150934,8.56568029440851e-05,0.000553090471648819,-0.00024963556727075,0.000249268627480072,-3.70303140654801e-06,0.000166232954704623,-6.77540987814312e-05,-0.00015782633411995,0.000144253310878115,0.000151534207590012,-4.88275022975944e-05,-7.15565791756539e-05,0.000136986277856201,5.61841434745506e-05,4.23064275558617e-05,-2.91690845931516e-05,-3.41198179199032e-06,4.54026415911242e-05,-3.46823418228201e-06,9.51887144346991e-05,4.51386378904957e-05,3.65367935203916e-05,6.76677884463752e-05,4.02486772689399e-05,8.7213650238082e-05,1.99897666163207e-05,8.00888289903763e-06,3.29544070284481e-05,-1.7454776338301e-05,2.73738052427781e-05,2.11888689407125e-05,9.64864569869624e-06,-1.29600774583105e-05,5.94043665960411e-05,1,902,-0.5639355324372,-554.299633270353,6,1120.59926654071,1152.47858886325,"group-scad","own-other",0.282805592092629,6,"Model2"
2,10.7013581098628,1.3743649749,-0.013419272356943,0.00801552937445894,0.0829994567901151,0.0123733471290718,-0.00677258262813269,0.00416178604525513,0.00349748149730016,-0.00284894168489554,0.00465975902890173,0.00316902882043492,-0.00148369072226533,1.89955781171878e-05,0.00258523206657476,0.000875341459118921,-4.09769155659506e-05,0.0011216460969797,-4.90105513600758e-05,-0.00015345258331653,-0.000200990758653296,-0.000157963528011538,5.78803327740802e-07,0.000102366022826472,-2.87834929448287e-05,-0.000194770911297224,-0.000106368801077265,-0.000288471806779114,-3.70355718083922e-05,6.01813252796093e-05,-8.35222838176145e-05,0.000110490538373585,-9.03730901300045e-05,-6.0864279050319e-05,-1.28422279427724e-05,2.63245670722212e-05,-0.000195416069354638,-9.501507467171e-05,6.36216911425707e-05,0.000126237243496733,7.94772608270379e-05,6.3335657732113e-05,6.93761066545351e-05,5.41831363345854e-05,4.50414884437022e-06,5.18637063251192e-05,5.77208176014946e-05,-1.89249673074196e-06,-0.000105015756621507,2.78410949101896e-05,2.0350616688885e-05,3.24953779692868e-05,3.24413858657162e-07,1,744,-0.528006598810113,-527.485279879022,10,1074.97055975804,1128.10276362895,"group-scad","own-other",0.277511750759955,10,"Model2"
3,10.7013581098628,1.3743649749,-0.00325626367314065,0.0146234953776337,-0.00171524027410388,0.250464309460733,-0.00263199291432974,0.0268416457114646,0.0183329018679035,0.0195692144177993,0.0358104146167344,0.00278635900265304,-0.00219800693300025,-0.00315623540164441,0.00847616612771667,0.00279967637106534,0.00522283588418419,0.000233461752337856,0.000940995004975906,0.000239886552165741,0.00201808593945262,0.00127824121368833,0.0012178172592999,0.000410118684856364,0.000318400347050598,-0.00035256982127448,0.00106431541323,-0.000428036355761513,-0.000272429387432147,0.000505831988320367,0.00026677337970685,0.000557017798713968,0.000385826835108578,5.77075245860724e-05,0.000173515051955307,0.000103910605541092,7.40364827198166e-05,0.000318087447217167,-9.33927098747243e-05,2.41876252029965e-05,-0.000466951669275632,0.000126892865399545,-2.59247617987651e-05,9.57840597456228e-05,-9.90440639178277e-06,0.000205761882189077,-0.000142348081618352,-9.60583348593827e-05,8.45274882509449e-05,-4.01152873332072e-05,-0.000125730362603308,-2.0125518640327e-05,2.12351623394263e-05,5,1500,-0.886535213856877,-454.064105915881,14,936.128211831761,1010.51329725103,"group-scad","own-other",0.26833695254159,14,"Model2"
4,10.7013581098628,1.3743649749,-0.0108126434111795,0.0128278571568503,-0.0130798487911858,0.00929488031202226,0.0814560811799171,0.048072498913601,0.0162830330639062,0.0238692538237568,-0.000238924284174435,0.05812542647821,0.0213512572891986,0.00191099735345163,0.00181554551287648,0.00413412623742848,-0.000260138197679075,0.00383989144986668,0.0006631831517653,0.000171539042166844,0.000440893461387872,0.000386385687514142,0.00105571545909614,0.000160929891526786,-0.000151293144522312,-0.000124550937796249,0.000178960268110661,0.000313613143098659,-4.74471238656052e-05,-4.03896668486035e-06,-8.17497071671976e-05,6.59487637323289e-05,-2.66337937176176e-05,7.82168165179087e-05,0.000123544395076666,2.6844267118197e-05,-0.000110860372545587,8.54243722349278e-05,-4.85246737159292e-05,-4.40620643368385e-05,0.000116270913199872,-0.000117170760416727,-5.87489069416177e-06,5.90902791638108e-05,2.04275781223053e-05,3.06433202566367e-05,-8.8954427040829e-05,8.58440907991578e-05,-2.49291401151937e-05,-7.2216137106988e-05,-1.22591932428341e-05,-3.51881018893501e-05,-0.000131522497614065,1,817,-0.834054220749714,-571.819575085687,11,1165.63915017137,1224.08457442937,"group-scad","own-other",0.284813906951467,11,"Model2"
5,10.7013581098628,1.3743649749,-0.0520488935679372,0.00912705063445028,0.036157695629391,0.0113487503720753,0.036303496317635,0.481932447638155,0.0145356348712212,0.0153415497528649,0.0104969116429161,0.0086240484900355,0.029724239157687,0.00178591143468675,0.00083569466953844,0.00275333220080127,0.000248594272324343,0.0256910634912015,9.52308216136657e-05,0.000142901496871572,0.000663305673913647,-8.40699624987968e-05,0.00164653849062155,0.000134766004531923,-5.87387600625815e-05,-7.92593232516654e-05,0.000436010789516774,0.000464437378625372,8.22901768573704e-05,-8.1305685921075e-06,0.000239042800997288,5.23699815810667e-05,0.000164497442891374,-4.29075297086953e-05,8.22310833233261e-05,9.24889509485273e-05,0.000204166082116184,8.48054077885723e-05,5.06612199446489e-05,-9.94167160331859e-05,1.12810551755999e-05,-0.000122142154332831,4.71991229544903e-05,-2.23510778738001e-05,2.05968632524623e-05,-1.90732173233646e-05,-1.93794832759375e-05,3.69302832774687e-06,0.000123142127612584,1.66564511511777e-05,-3.28749900277831e-05,-1.5653174989863e-05,-1.80176132785736e-05,1,857,-1.47411273339135,-813.039751990915,12,1650.07950398183,1713.83814862691,"group-scad","own-other",0.349454820976642,12,"Model2"
